═══════════════════════════════════════════════════════════════
  Site            : tvgids.nl
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 43s
  Channels        : 230
  With programmes : 225
  Empty channels  : 5
  Total programs  : 10361
  Output size     : 3485713 bytes
  HTTP errors     :
    5 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:37:34
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:36:51 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvgids.nl --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 115 channel(s)
ℹ loading api data...
ℹ   [114/230] tvgids.nl (nl) - NationalGeographic.nl@SD - Apr 25, 2026 (35 programs)
ℹ   [115/230] tvgids.nl (nl) - nh - Apr 24, 2026 (90 programs)
ℹ   [116/230] tvgids.nl (nl) - nh - Apr 25, 2026 (117 programs)
ℹ   [117/230] tvgids.nl (nl) - Nickelodeon.nl@SD - Apr 24, 2026 (80 programs)
ℹ   [118/230] tvgids.nl (nl) - Nickelodeon.nl@SD - Apr 25, 2026 (77 programs)
ℹ   [119/230] tvgids.nl (nl) - NickJr.nl@SD - Apr 24, 2026 (107 programs)
ℹ   [120/230] tvgids.nl (nl) - noord - Apr 24, 2026 (152 programs)
ℹ   [121/230] tvgids.nl (nl) - NPO1.nl@HD - Apr 24, 2026 (71 programs)
ℹ   [122/230] tvgids.nl (nl) - NickJr.nl@SD - Apr 25, 2026 (105 programs)
ℹ   [123/230] tvgids.nl (nl) - noord - Apr 25, 2026 (108 programs)
ℹ   [124/230] tvgids.nl (nl) - NPO1.nl@HD - Apr 25, 2026 (42 programs)
ℹ   [125/230] tvgids.nl (nl) - NPO2.nl@HD - Apr 24, 2026 (46 programs)
ℹ   [126/230] tvgids.nl (nl) - NPO1extra.nl@HD - Apr 24, 2026 (39 programs)
ℹ   [127/230] tvgids.nl (nl) - NPO2.nl@HD - Apr 25, 2026 (38 programs)
