═══════════════════════════════════════════════════════════════
  Site            : siba.com.co
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 12046s
  Channels        : 2045
  With programmes : 20
  Empty channels  : 2025
  Total programs  : 0
  Output size     : 0 bytes
  Other errors    :
    1880 timeout of 30000ms exceeded
    5 socket hang up
  Last error      : timeout of 30000ms exceeded
  Generated       : 2026-04-24 15:13:12
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:52:26 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=siba.com.co --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 244 channel(s)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [88/488] siba.com.co (es) - 462 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [89/488] siba.com.co (es) - 463 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [90/488] siba.com.co (es) - 463 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [91/488] siba.com.co (es) - 464 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [92/488] siba.com.co (es) - 464 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [93/488] siba.com.co (es) - 465 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [94/488] siba.com.co (es) - 465 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [95/488] siba.com.co (es) - 466 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [96/488] siba.com.co (es) - 466 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [97/488] siba.com.co (es) - 467 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [98/488] siba.com.co (es) - 467 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [99/488] siba.com.co (es) - 468 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [100/488] siba.com.co (es) - 468 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [101/488] siba.com.co (es) - 469 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [102/488] siba.com.co (es) - 469 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [103/488] siba.com.co (es) - 470 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [104/488] siba.com.co (es) - 470 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [105/488] siba.com.co (es) - 471 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [106/488] siba.com.co (es) - 471 - Apr 25, 2026 (0 programs)
ℹ   [106/488] siba.com.co (es) - 471 - Apr 25, 2026 (0 programs)
ℹ   [107/488] siba.com.co (es) - 472 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [108/488] siba.com.co (es) - 472 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [109/488] siba.com.co (es) - 473 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [110/488] siba.com.co (es) - 473 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [111/488] siba.com.co (es) - 474 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [112/488] siba.com.co (es) - 474 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [113/488] siba.com.co (es) - 475 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [114/488] siba.com.co (es) - 475 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [115/488] siba.com.co (es) - 476 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [116/488] siba.com.co (es) - 476 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [117/488] siba.com.co (es) - 477 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [118/488] siba.com.co (es) - 477 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [119/488] siba.com.co (es) - 478 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [120/488] siba.com.co (es) - 478 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [121/488] siba.com.co (es) - 479 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [122/488] siba.com.co (es) - 479 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [123/488] siba.com.co (es) - 480 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [124/488] siba.com.co (es) - 480 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [125/488] siba.com.co (es) - 481 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [126/488] siba.com.co (es) - 481 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [127/488] siba.com.co (es) - 482 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [128/488] siba.com.co (es) - 482 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [129/488] siba.com.co (es) - 487 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [130/488] siba.com.co (es) - 487 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [131/488] siba.com.co (es) - 488 - Apr 24, 2026 (0 programs)
ℹ   [131/488] siba.com.co (es) - 488 - Apr 24, 2026 (0 programs)
ℹ   [132/488] siba.com.co (es) - 488 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [133/488] siba.com.co (es) - 489 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [134/488] siba.com.co (es) - 489 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [135/488] siba.com.co (es) - 490 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [136/488] siba.com.co (es) - 490 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [137/488] siba.com.co (es) - 491 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [138/488] siba.com.co (es) - 491 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [139/488] siba.com.co (es) - 492 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [140/488] siba.com.co (es) - 492 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [141/488] siba.com.co (es) - 494 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [142/488] siba.com.co (es) - 494 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [143/488] siba.com.co (es) - 495 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [144/488] siba.com.co (es) - 495 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [145/488] siba.com.co (es) - 496 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [146/488] siba.com.co (es) - 496 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [147/488] siba.com.co (es) - 500 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [148/488] siba.com.co (es) - 500 - Apr 25, 2026 (0 programs)
