═══════════════════════════════════════════════════════════════
  Site            : sky.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 113s
  Channels        : 1066
  With programmes : 1014
  Empty channels  : 52
  Total programs  : 27995
  Output size     : 15867215 bytes
  Generated       : 2026-04-24 12:01:19
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:59:26 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=sky.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 533 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [103/1066] sky.com (en) - 3470 - Apr 25, 2026 (10 programs)
ℹ   [104/1066] sky.com (en) - 3470 - Apr 24, 2026 (11 programs)
ℹ   [105/1066] sky.com (en) - 4158 - Apr 24, 2026 (32 programs)
ℹ   [106/1066] sky.com (en) - 4163 - Apr 24, 2026 (34 programs)
ℹ   [107/1066] sky.com (en) - 4158 - Apr 25, 2026 (36 programs)
ℹ   [108/1066] sky.com (en) - 4611 - Apr 24, 2026 (17 programs)
ℹ   [109/1066] sky.com (en) - 4163 - Apr 25, 2026 (34 programs)
ℹ   [110/1066] sky.com (en) - 4611 - Apr 25, 2026 (18 programs)
ℹ   [111/1066] sky.com (en) - 5040 - Apr 24, 2026 (20 programs)
ℹ   [112/1066] sky.com (en) - 5040 - Apr 25, 2026 (19 programs)
ℹ   [113/1066] sky.com (en) - 8040 - Apr 25, 2026 (0 programs)
ℹ   [114/1066] sky.com (en) - 8040 - Apr 24, 2026 (0 programs)
ℹ   [115/1066] sky.com (en) - 8266 - Apr 24, 2026 (0 programs)
ℹ   [116/1066] sky.com (en) - 8301 - Apr 24, 2026 (0 programs)
ℹ   [117/1066] sky.com (en) - 8266 - Apr 25, 2026 (0 programs)
ℹ   [118/1066] sky.com (en) - 8301 - Apr 25, 2026 (0 programs)
ℹ   [119/1066] sky.com (en) - 8331 - Apr 24, 2026 (0 programs)
ℹ   [120/1066] sky.com (en) - 8331 - Apr 25, 2026 (0 programs)
ℹ   [121/1066] sky.com (en) - 8346 - Apr 25, 2026 (0 programs)
ℹ   [122/1066] sky.com (en) - 8459 - Apr 24, 2026 (0 programs)
ℹ   [123/1066] sky.com (en) - 8346 - Apr 24, 2026 (0 programs)
ℹ   [124/1066] sky.com (en) - 8459 - Apr 25, 2026 (0 programs)
ℹ   [125/1066] sky.com (en) - 4seven.uk@SD - Apr 24, 2026 (24 programs)
ℹ   [126/1066] sky.com (en) - 4seven.uk@SD - Apr 25, 2026 (26 programs)
