═══════════════════════════════════════════════════════════════
  Site            : dens.tv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 26s
  Channels        : 108
  With programmes : 84
  Empty channels  : 24
  Total programs  : 2791
  Output size     : 512951 bytes
  HTTP errors     :
    24 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 10:47:50
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:47:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dens.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 54 channel(s)
ℹ loading api data...
ℹ   [92/108] dens.tv (id) - DanceTelevision.nl@SD - Apr 24, 2026 (25 programs)
ℹ   [93/108] dens.tv (id) - DanceTelevision.nl@SD - Apr 25, 2026 (21 programs)
ℹ   [94/108] dens.tv (id) - 131 - Apr 25, 2026 (26 programs)
ℹ   [95/108] dens.tv (id) - DIM.ua@SD - Apr 24, 2026 (20 programs)
ℹ   [96/108] dens.tv (id) - DIM.ua@SD - Apr 25, 2026 (18 programs)
ℹ   [97/108] dens.tv (id) - KBSKorea.kr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [98/108] dens.tv (id) - KBSKorea.kr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [99/108] dens.tv (id) - KBSWorld.kr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [100/108] dens.tv (id) - KBSWorld.kr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [101/108] dens.tv (id) - ChannelJowo.id@SD - Apr 24, 2026 (26 programs)
ℹ   [102/108] dens.tv (id) - ChannelJowo.id@SD - Apr 25, 2026 (25 programs)
ℹ   [103/108] dens.tv (id) - NusantaraTV.id@SD - Apr 24, 2026 (27 programs)
ℹ   [104/108] dens.tv (id) - NusantaraTV.id@SD - Apr 25, 2026 (28 programs)
ℹ   [105/108] dens.tv (id) - 143 - Apr 24, 2026 (11 programs)
ℹ   [106/108] dens.tv (id) - 143 - Apr 25, 2026 (14 programs)
ℹ   [107/108] dens.tv (id) - 144 - Apr 24, 2026 (49 programs)
ℹ   [108/108] dens.tv (id) - 144 - Apr 25, 2026 (49 programs)
ℹ   saving to "/home/runner/workspace/sites/dens.tv/dens.tv.xml"...
✔   done in 00h 00m 18s
