═══════════════════════════════════════════════════════════════
  Site            : tv.lv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 30s
  Channels        : 274
  With programmes : 6
  Empty channels  : 268
  Total programs  : 109
  Output size     : 95872 bytes
  HTTP errors     :
    174 status code 429
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 12:47:14
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:46:44 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv.lv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 137 channel(s)
ℹ loading api data...
ℹ   [86/274] tv.lv (lv) - eurosport-2-bundesliga - Apr 25, 2026 (0 programs)
ℹ   [87/274] tv.lv (lv) - eurosport-deutchland - Apr 24, 2026 (0 programs)
ℹ   [88/274] tv.lv (lv) - eurosport-deutchland - Apr 25, 2026 (0 programs)
ℹ   [89/274] tv.lv (lv) - extreme-sports - Apr 24, 2026 (0 programs)
ℹ   [90/274] tv.lv (lv) - extreme-sports - Apr 25, 2026 (0 programs)
ℹ   [91/274] tv.lv (lv) - fashion-one - Apr 24, 2026 (0 programs)
ℹ   [92/274] tv.lv (lv) - fashion-one - Apr 25, 2026 (0 programs)
ℹ   [93/274] tv.lv (lv) - FashionTVEurope.fr@SD - Apr 24, 2026 (0 programs)
ℹ   [94/274] tv.lv (lv) - fight-sports-tv - Apr 24, 2026 (0 programs)
ℹ   [95/274] tv.lv (lv) - FashionTVEurope.fr@SD - Apr 25, 2026 (0 programs)
ℹ   [96/274] tv.lv (lv) - fight-sports-tv - Apr 25, 2026 (0 programs)
ℹ   [97/274] tv.lv (lv) - FilmzonePlus.ee@SD - Apr 24, 2026 (0 programs)
ℹ   [98/274] tv.lv (lv) - FilmzonePlus.ee@SD - Apr 25, 2026 (0 programs)
ℹ   [99/274] tv.lv (lv) - filmzone-lv - Apr 25, 2026 (0 programs)
ℹ   [100/274] tv.lv (lv) - filmzone-lv - Apr 24, 2026 (0 programs)
ℹ   [101/274] tv.lv (lv) - food-network-hd-emea - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [102/274] tv.lv (lv) - food-network-hd-emea - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [103/274] tv.lv (lv) - fox - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [104/274] tv.lv (lv) - fox-life - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [105/274] tv.lv (lv) - fox - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [106/274] tv.lv (lv) - fox-life - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [107/274] tv.lv (lv) - france-24-uk - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [108/274] tv.lv (lv) - france-24-uk - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [109/274] tv.lv (lv) - futbol - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [110/274] tv.lv (lv) - futbol - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [111/274] tv.lv (lv) - Go3Films.ee@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [112/274] tv.lv (lv) - Go3Films.ee@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [113/274] tv.lv (lv) - Go3Sport.ee@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [114/274] tv.lv (lv) - Go3Sport.ee@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [115/274] tv.lv (lv) - Go3Sport2.ee@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [116/274] tv.lv (lv) - Go3Sport3.ee@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [117/274] tv.lv (lv) - Go3Sport2.ee@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [118/274] tv.lv (lv) - Go3Sport3.ee@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [119/274] tv.lv (lv) - Go3Sport4.ee@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [120/274] tv.lv (lv) - Go3Sport4.ee@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [121/274] tv.lv (lv) - gulli - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [122/274] tv.lv (lv) - gulli - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [123/274] tv.lv (lv) - history-europe - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [124/274] tv.lv (lv) - history-europe - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [125/274] tv.lv (lv) - kanal-7-lv - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [126/274] tv.lv (lv) - kanal-7-lv - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [127/274] tv.lv (lv) - kidzone-mini-baltic - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [128/274] tv.lv (lv) - kidzone-mini-baltic - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [129/274] tv.lv (lv) - kidzonetv-latvija - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [130/274] tv.lv (lv) - kidzonetv-latvija - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [131/274] tv.lv (lv) - KiKA.de@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [132/274] tv.lv (lv) - KiKA.de@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [133/274] tv.lv (lv) - lolo-tv-lv - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [134/274] tv.lv (lv) - lolo-tv-lv - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [135/274] tv.lv (lv) - LTV1.lv@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [136/274] tv.lv (lv) - LTV1.lv@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [137/274] tv.lv (lv) - LTV7.lv@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [138/274] tv.lv (lv) - luxetv-hd - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [139/274] tv.lv (lv) - LTV7.lv@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [140/274] tv.lv (lv) - luxetv-hd - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [141/274] tv.lv (lv) - mcm-top - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [142/274] tv.lv (lv) - mcm-top - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [143/274] tv.lv (lv) - mezzo - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [144/274] tv.lv (lv) - mezzo - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [145/274] tv.lv (lv) - motorsport-tv - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [146/274] tv.lv (lv) - motorsport-tv - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [147/274] tv.lv (lv) - mtv-dance - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [148/274] tv.lv (lv) - mtv-dance - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [149/274] tv.lv (lv) - mtv-europe - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [150/274] tv.lv (lv) - mtv-europe - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [151/274] tv.lv (lv) - mtv-hits - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [152/274] tv.lv (lv) - mtv-hits - Apr 25, 2026 (0 programs)
