═══════════════════════════════════════════════════════════════
  Site            : streamingtvguides.com
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 1480s
  Channels        : 11079
  With programmes : 0
  Empty channels  : 11079
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    34 status code 404
    29 status code 522
  Other errors    :
    21 timeout of 30000ms exceeded
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:29:28
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:04:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=streamingtvguides.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 3066 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [75/6132] streamingtvguides.com (en) - ADCMO - Apr 25, 2026 (0 programs)
ℹ   [76/6132] streamingtvguides.com (en) - ADDECA - Apr 24, 2026 (0 programs)
ℹ   [77/6132] streamingtvguides.com (en) - ADENSM - Apr 24, 2026 (0 programs)
ℹ   [78/6132] streamingtvguides.com (en) - ADEASY - Apr 24, 2026 (0 programs)
ℹ   [79/6132] streamingtvguides.com (en) - ADEASY - Apr 25, 2026 (0 programs)
ℹ   [80/6132] streamingtvguides.com (en) - ADENSM - Apr 25, 2026 (0 programs)
ℹ   [81/6132] streamingtvguides.com (en) - ADFEDB - Apr 24, 2026 (0 programs)
ℹ   [82/6132] streamingtvguides.com (en) - ADFEDB - Apr 25, 2026 (0 programs)
ℹ   [83/6132] streamingtvguides.com (en) - ADFREQ - Apr 24, 2026 (0 programs)
ℹ   [84/6132] streamingtvguides.com (en) - ADFREQ - Apr 25, 2026 (0 programs)
ℹ   [85/6132] streamingtvguides.com (en) - ADHAWI - Apr 24, 2026 (0 programs)
ℹ   [86/6132] streamingtvguides.com (en) - ADHAWI - Apr 25, 2026 (0 programs)
ℹ   [87/6132] streamingtvguides.com (en) - ADIMPR - Apr 24, 2026 (0 programs)
ℹ   [88/6132] streamingtvguides.com (en) - ADIMPR - Apr 25, 2026 (0 programs)
ℹ   [89/6132] streamingtvguides.com (en) - ADINTM - Apr 25, 2026 (0 programs)
ℹ   [90/6132] streamingtvguides.com (en) - ADINTM - Apr 24, 2026 (0 programs)
ℹ   [91/6132] streamingtvguides.com (en) - ADITAL - Apr 24, 2026 (0 programs)
ℹ   [92/6132] streamingtvguides.com (en) - ADITAL - Apr 25, 2026 (0 programs)
ℹ   [93/6132] streamingtvguides.com (en) - ADJBGD - Apr 25, 2026 (0 programs)
ℹ   [94/6132] streamingtvguides.com (en) - ADJBGD - Apr 24, 2026 (0 programs)
ℹ   [95/6132] streamingtvguides.com (en) - ADJZTR - Apr 25, 2026 (0 programs)
ℹ   [96/6132] streamingtvguides.com (en) - ADJZTR - Apr 24, 2026 (0 programs)
ℹ   [97/6132] streamingtvguides.com (en) - ADKIDT - Apr 24, 2026 (0 programs)
ℹ   [98/6132] streamingtvguides.com (en) - ADKIDT - Apr 25, 2026 (0 programs)
ℹ   [99/6132] streamingtvguides.com (en) - ADKING - Apr 24, 2026 (0 programs)
ℹ   [100/6132] streamingtvguides.com (en) - ADKING - Apr 25, 2026 (0 programs)
ℹ   [101/6132] streamingtvguides.com (en) - ADLITE - Apr 25, 2026 (0 programs)
ℹ   [102/6132] streamingtvguides.com (en) - ADLITE - Apr 24, 2026 (0 programs)
ℹ   [103/6132] streamingtvguides.com (en) - ADLTDM - Apr 24, 2026 (0 programs)
ℹ   [104/6132] streamingtvguides.com (en) - ADLTDM - Apr 25, 2026 (0 programs)
ℹ   [105/6132] streamingtvguides.com (en) - ADLTPPV - Apr 25, 2026 (0 programs)
ℹ   [106/6132] streamingtvguides.com (en) - ADLTPPV - Apr 24, 2026 (0 programs)
ℹ   [107/6132] streamingtvguides.com (en) - ADLUCI - Apr 25, 2026 (0 programs)
ℹ   [108/6132] streamingtvguides.com (en) - ADLUCI - Apr 24, 2026 (0 programs)
ℹ   [109/6132] streamingtvguides.com (en) - ADM - Apr 24, 2026 (0 programs)
ℹ   [110/6132] streamingtvguides.com (en) - ADMARTN - Apr 25, 2026 (0 programs)
ℹ   [111/6132] streamingtvguides.com (en) - ADM - Apr 25, 2026 (0 programs)
ℹ   [112/6132] streamingtvguides.com (en) - ADMARTN - Apr 24, 2026 (0 programs)
ℹ   [113/6132] streamingtvguides.com (en) - ADMOSL - Apr 25, 2026 (0 programs)
ℹ   [114/6132] streamingtvguides.com (en) - ADMOSL - Apr 24, 2026 (0 programs)
ℹ   [115/6132] streamingtvguides.com (en) - ADNASH - Apr 24, 2026 (0 programs)
ℹ   [116/6132] streamingtvguides.com (en) - ADNASH - Apr 25, 2026 (0 programs)
ℹ   [117/6132] streamingtvguides.com (en) - ADNUJZ - Apr 24, 2026 (0 programs)
