═══════════════════════════════════════════════════════════════
  Site            : mi.tv
  Status          : PASS
  Attempts used   : 7 / 10
  Total elapsed   : 1564s
  Channels        : 19642
  With programmes : 15207
  Empty channels  : 4435
  Total programs  : 92059
  Output size     : 44390818 bytes
  Generated       : 2026-04-24 11:38:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:12:38 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mi.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 2084 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [77/4168] mi.tv (es) - CNNChile.cl@SD - Apr 24, 2026 (29 programs)
ℹ   [78/4168] mi.tv (es) - CNNChile.cl@SD - Apr 25, 2026 (32 programs)
ℹ   [79/4168] mi.tv (es) - CNNenEspanol.us@SD - Apr 24, 2026 (24 programs)
ℹ   [80/4168] mi.tv (es) - CNNenEspanol.us@SD - Apr 25, 2026 (31 programs)
ℹ   [81/4168] mi.tv (es) - ComedyCentralLatinAmerica.us@Panregional - Apr 24, 2026 (62 programs)
ℹ   [82/4168] mi.tv (es) - ComedyCentralLatinAmerica.us@Panregional - Apr 25, 2026 (61 programs)
ℹ   [83/4168] mi.tv (es) - ConexionEducativa.ar@SD - Apr 24, 2026 (8 programs)
ℹ   [84/4168] mi.tv (es) - ConexionEducativa.ar@SD - Apr 25, 2026 (8 programs)
ℹ   [85/4168] mi.tv (es) - ConstruirTV.ar@SD - Apr 24, 2026 (34 programs)
ℹ   [86/4168] mi.tv (es) - ConstruirTV.ar@SD - Apr 25, 2026 (37 programs)
ℹ   [87/4168] mi.tv (es) - CronicaTV.ar@SD - Apr 24, 2026 (18 programs)
ℹ   [88/4168] mi.tv (es) - CronicaTV.ar@SD - Apr 25, 2026 (18 programs)
ℹ   [89/4168] mi.tv (es) - DePeliculaLatinAmerica.mx@SD - Apr 24, 2026 (15 programs)
ℹ   [90/4168] mi.tv (es) - DePeliculaLatinAmerica.mx@SD - Apr 25, 2026 (14 programs)
ℹ   [91/4168] mi.tv (es) - DHE.us@SD - Apr 24, 2026 (14 programs)
ℹ   [92/4168] mi.tv (es) - DHE.us@SD - Apr 25, 2026 (14 programs)
ℹ   [93/4168] mi.tv (es) - DiscoveryChannelLatinAmerica.us@South - Apr 24, 2026 (27 programs)
ℹ   [94/4168] mi.tv (es) - DiscoveryChannelLatinAmerica.us@South - Apr 25, 2026 (30 programs)
ℹ   [95/4168] mi.tv (es) - ar#discovery-civilization - Apr 24, 2026 (0 programs)
ℹ   [96/4168] mi.tv (es) - ar#discovery-civilization - Apr 25, 2026 (0 programs)
ℹ   [97/4168] mi.tv (es) - ar#discovery-hd-charvz - Apr 25, 2026 (30 programs)
ℹ   [98/4168] mi.tv (es) - ar#discovery-hd-charvz - Apr 24, 2026 (27 programs)
ℹ   [99/4168] mi.tv (es) - DiscoveryTheaterLatinAmerica.us@SD - Apr 24, 2026 (34 programs)
ℹ   [100/4168] mi.tv (es) - DiscoveryTheaterLatinAmerica.us@SD - Apr 25, 2026 (32 programs)
ℹ   [101/4168] mi.tv (es) - DiscoveryHomeHealthLatinAmerica.mx@South - Apr 24, 2026 (32 programs)
ℹ   [102/4168] mi.tv (es) - DiscoveryHomeHealthLatinAmerica.mx@South - Apr 25, 2026 (31 programs)
ℹ   [103/4168] mi.tv (es) - DiscoveryKidsLatinAmerica.us@Panregional - Apr 24, 2026 (93 programs)
ℹ   [104/4168] mi.tv (es) - DiscoveryKidsLatinAmerica.us@Panregional - Apr 25, 2026 (95 programs)
