═══════════════════════════════════════════════════════════════
  Site            : xumo.tv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 56s
  Channels        : 830
  With programmes : 812
  Empty channels  : 18
  Total programs  : 26606
  Output size     : 8883086 bytes
  Generated       : 2026-04-24 13:07:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:06:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=xumo.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 415 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [106/830] xumo.tv (en) - 50#99951158 - Apr 25, 2026 (23 programs)
ℹ   [107/830] xumo.tv (en) - StrongmanChampionsLeague.pl@SD - Apr 24, 2026 (29 programs)
ℹ   [108/830] xumo.tv (en) - StrongmanChampionsLeague.pl@SD - Apr 25, 2026 (29 programs)
ℹ   [109/830] xumo.tv (en) - PFLMMA.pl@SD - Apr 24, 2026 (0 programs)
ℹ   [110/830] xumo.tv (en) - PFLMMA.pl@SD - Apr 25, 2026 (0 programs)
ℹ   [111/830] xumo.tv (en) - ClassicDoctorWho.us@SD - Apr 24, 2026 (54 programs)
ℹ   [112/830] xumo.tv (en) - ClassicDoctorWho.us@SD - Apr 25, 2026 (54 programs)
ℹ   [113/830] xumo.tv (en) - OuterSphere.us@SD - Apr 24, 2026 (27 programs)
ℹ   [114/830] xumo.tv (en) - OuterSphere.us@SD - Apr 25, 2026 (21 programs)
ℹ   [115/830] xumo.tv (en) - NBCSportsNOW.us@SD - Apr 24, 2026 (22 programs)
ℹ   [116/830] xumo.tv (en) - NBCSportsNOW.us@SD - Apr 25, 2026 (32 programs)
ℹ   [117/830] xumo.tv (en) - 50#99951256 - Apr 24, 2026 (48 programs)
ℹ   [118/830] xumo.tv (en) - 50#99951256 - Apr 25, 2026 (49 programs)
ℹ   [119/830] xumo.tv (en) - 50#99951258 - Apr 24, 2026 (55 programs)
ℹ   [120/830] xumo.tv (en) - 50#99951258 - Apr 25, 2026 (57 programs)
ℹ   [121/830] xumo.tv (en) - 50#99951264 - Apr 24, 2026 (18 programs)
ℹ   [122/830] xumo.tv (en) - 50#99951264 - Apr 25, 2026 (18 programs)
ℹ   [123/830] xumo.tv (en) - DraftKingsNetwork.us@SD - Apr 24, 2026 (16 programs)
ℹ   [124/830] xumo.tv (en) - DraftKingsNetwork.us@SD - Apr 25, 2026 (21 programs)
ℹ   [125/830] xumo.tv (en) - 50#99951266 - Apr 24, 2026 (20 programs)
ℹ   [126/830] xumo.tv (en) - 50#99951266 - Apr 25, 2026 (17 programs)
ℹ   [127/830] xumo.tv (en) - 50#99951349 - Apr 24, 2026 (22 programs)
ℹ   [128/830] xumo.tv (en) - 50#99951349 - Apr 25, 2026 (29 programs)
ℹ   [129/830] xumo.tv (en) - 50#99951359 - Apr 24, 2026 (17 programs)
ℹ   [130/830] xumo.tv (en) - 50#99951359 - Apr 25, 2026 (16 programs)
ℹ   [131/830] xumo.tv (en) - Unbeaten.us@SD - Apr 24, 2026 (15 programs)
ℹ   [132/830] xumo.tv (en) - Unbeaten.us@SD - Apr 25, 2026 (14 programs)
ℹ   [133/830] xumo.tv (en) - 50#99951373 - Apr 24, 2026 (14 programs)
ℹ   [134/830] xumo.tv (en) - 50#99951373 - Apr 25, 2026 (17 programs)
ℹ   [135/830] xumo.tv (en) - HauntTV.ca@SD - Apr 24, 2026 (43 programs)
ℹ   [136/830] xumo.tv (en) - HauntTV.ca@SD - Apr 25, 2026 (33 programs)
ℹ   [137/830] xumo.tv (en) - AMCThrillers.us@SD - Apr 24, 2026 (18 programs)
ℹ   [138/830] xumo.tv (en) - AMCThrillers.us@SD - Apr 25, 2026 (17 programs)
ℹ   [139/830] xumo.tv (en) - RealMadridTV.es@SD - Apr 24, 2026 (23 programs)
ℹ   [140/830] xumo.tv (en) - RealMadridTV.es@SD - Apr 25, 2026 (21 programs)
ℹ   [141/830] xumo.tv (en) - 50#99951383 - Apr 24, 2026 (30 programs)
ℹ   [142/830] xumo.tv (en) - 50#99951383 - Apr 25, 2026 (29 programs)
ℹ   [143/830] xumo.tv (en) - PBRRidePass.us@SD - Apr 24, 2026 (21 programs)
ℹ   [144/830] xumo.tv (en) - PBRRidePass.us@SD - Apr 25, 2026 (23 programs)
ℹ   [145/830] xumo.tv (en) - TennisChannel.us@Plus2 - Apr 24, 2026 (9 programs)
ℹ   [146/830] xumo.tv (en) - TennisChannel.us@Plus2 - Apr 25, 2026 (9 programs)
ℹ   [147/830] xumo.tv (en) - 50#99951390 - Apr 24, 2026 (23 programs)
ℹ   [148/830] xumo.tv (en) - 50#99951390 - Apr 25, 2026 (24 programs)
ℹ   [149/830] xumo.tv (en) - 50#99951391 - Apr 24, 2026 (33 programs)
ℹ   [150/830] xumo.tv (en) - 50#99951391 - Apr 25, 2026 (34 programs)
ℹ   [151/830] xumo.tv (en) - 50#99951398 - Apr 24, 2026 (32 programs)
ℹ   [152/830] xumo.tv (en) - 50#99951398 - Apr 25, 2026 (34 programs)
ℹ   [153/830] xumo.tv (en) - WillowSports.us@SD - Apr 24, 2026 (25 programs)
ℹ   [154/830] xumo.tv (en) - WillowSports.us@SD - Apr 25, 2026 (25 programs)
ℹ   [155/830] xumo.tv (en) - 50#99951440 - Apr 24, 2026 (35 programs)
ℹ   [156/830] xumo.tv (en) - 50#99951440 - Apr 25, 2026 (33 programs)
ℹ   [157/830] xumo.tv (en) - 50#99951462 - Apr 24, 2026 (61 programs)
ℹ   [158/830] xumo.tv (en) - 50#99951462 - Apr 25, 2026 (49 programs)
ℹ   [159/830] xumo.tv (en) - 50#99951474 - Apr 24, 2026 (32 programs)
ℹ   [160/830] xumo.tv (en) - 50#99951474 - Apr 25, 2026 (32 programs)
ℹ   [161/830] xumo.tv (en) - 50#99951510 - Apr 24, 2026 (30 programs)
ℹ   [162/830] xumo.tv (en) - 50#99951510 - Apr 25, 2026 (31 programs)
ℹ   [163/830] xumo.tv (en) - 50#99951530 - Apr 24, 2026 (24 programs)
ℹ   [164/830] xumo.tv (en) - 50#99951530 - Apr 25, 2026 (13 programs)
ℹ   [165/830] xumo.tv (en) - 50#99951531 - Apr 24, 2026 (27 programs)
ℹ   [166/830] xumo.tv (en) - 50#99951531 - Apr 25, 2026 (23 programs)
ℹ   [167/830] xumo.tv (en) - 50#99951538 - Apr 24, 2026 (24 programs)
ℹ   [168/830] xumo.tv (en) - 50#99991196 - Apr 24, 2026 (44 programs)
