═══════════════════════════════════════════════════════════════
  Site            : webtv.delta.nl
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 690s
  Channels        : 494
  With programmes : 422
  Empty channels  : 72
  Total programs  : 14775
  Output size     : 7474372 bytes
  HTTP errors     :
    56 status code 404
  Other errors    :
    14 Cannot read properties of undefined (reading 'url')
  Last error      : Cannot read properties of undefined (reading 'url')
  Generated       : 2026-04-24 13:16:48
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:05:18 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=webtv.delta.nl --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ   [88/494] webtv.delta.nl (nl) - BBCFirst.uk@Benelux - Apr 25, 2026 (23 programs)
ℹ   [89/494] webtv.delta.nl (nl) - SBS9.nl@SD - Apr 25, 2026 (14 programs)
ℹ   [90/494] webtv.delta.nl (en) - BBCTwo.uk@England - Apr 25, 2026 (17 programs)
ℹ   [91/494] webtv.delta.nl (nl) - DisneyChannel.nl@SD - Apr 25, 2026 (63 programs)
ℹ   [92/494] webtv.delta.nl (en) - BBCTwo.uk@England - Apr 24, 2026 (33 programs)
ℹ   [93/494] webtv.delta.nl (en) - BBCNews.uk@Europe - Apr 24, 2026 (52 programs)
ℹ   [94/494] webtv.delta.nl (en) - BBCNews.uk@Europe - Apr 25, 2026 (46 programs)
ℹ   [95/494] webtv.delta.nl (de) - DasErste.de@SD - Apr 24, 2026 (45 programs)
ℹ   [96/494] webtv.delta.nl (de) - DasErste.de@SD - Apr 25, 2026 (37 programs)
ℹ   [97/494] webtv.delta.nl (nl) - ZDF.de@SD - Apr 24, 2026 (46 programs)
ℹ   [98/494] webtv.delta.nl (nl) - ZDF.de@SD - Apr 25, 2026 (37 programs)
ℹ   [99/494] webtv.delta.nl (de) - 60 - Apr 25, 2026 (30 programs)
ℹ   [100/494] webtv.delta.nl (de) - arte.fr@SD - Apr 24, 2026 (29 programs)
ℹ   [101/494] webtv.delta.nl (de) - 60 - Apr 24, 2026 (42 programs)
ℹ   [102/494] webtv.delta.nl (de) - arte.fr@SD - Apr 25, 2026 (29 programs)
ℹ   [103/494] webtv.delta.nl (fr) - Mezzo.fr@SD - Apr 24, 2026 (19 programs)
ℹ   [104/494] webtv.delta.nl (nl) - TV538.nl@SD - Apr 24, 2026 (14 programs)
ℹ   [105/494] webtv.delta.nl (nl) - Family7.nl@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [106/494] webtv.delta.nl (nl) - TV538.nl@SD - Apr 25, 2026 (12 programs)
ℹ   [107/494] webtv.delta.nl (nl) - Family7.nl@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [108/494] webtv.delta.nl (fr) - Mezzo.fr@SD - Apr 25, 2026 (20 programs)
ℹ   [109/494] webtv.delta.nl (nl) - ZVTAVS.nl@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [110/494] webtv.delta.nl (nl) - ZVTAVS.nl@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [111/494] webtv.delta.nl (nl) - RTVScheldemond.nl@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [112/494] webtv.delta.nl (nl) - RTVScheldemond.nl@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [113/494] webtv.delta.nl (nl) - TholenTV.nl@SD - Apr 24, 2026 (25 programs)
ℹ   [114/494] webtv.delta.nl (nl) - TholenTV.nl@SD - Apr 25, 2026 (25 programs)
ℹ   [115/494] webtv.delta.nl (nl) - GOTV.nl@SD - Apr 24, 2026 (25 programs)
ℹ   [116/494] webtv.delta.nl (en) - EuronewsEnglish.fr@SD - Apr 24, 2026 (92 programs)
ℹ   [117/494] webtv.delta.nl (nl) - GOTV.nl@SD - Apr 25, 2026 (25 programs)
ℹ   [118/494] webtv.delta.nl (en) - EuronewsEnglish.fr@SD - Apr 25, 2026 (110 programs)
ℹ   [119/494] webtv.delta.nl (nl) - OmroepHulst.nl@SD - Apr 25, 2026 (114 programs)
ℹ   [120/494] webtv.delta.nl (nl) - OmroepHulst.nl@SD - Apr 24, 2026 (120 programs)
ℹ   [121/494] webtv.delta.nl (nl) - 72 - Apr 24, 2026 (35 programs)
ℹ   [122/494] webtv.delta.nl (nl) - 72 - Apr 25, 2026 (37 programs)
ℹ   [123/494] webtv.delta.nl (nl) - ParamountNetwork.nl@SD - Apr 25, 2026 (25 programs)
ℹ   [124/494] webtv.delta.nl (nl) - ParamountNetwork.nl@SD - Apr 24, 2026 (32 programs)
ℹ   [125/494] webtv.delta.nl (nl) - OmroepBrabant.nl@SD - Apr 24, 2026 (56 programs)
ℹ   [126/494] webtv.delta.nl (nl) - OmroepBrabant.nl@SD - Apr 25, 2026 (67 programs)
ℹ   [127/494] webtv.delta.nl (nl) - RTLCrime.nl@SD - Apr 24, 2026 (27 programs)
ℹ   [128/494] webtv.delta.nl (nl) - RTLCrime.nl@SD - Apr 25, 2026 (27 programs)
ℹ   [129/494] webtv.delta.nl (nl) - RTLLounge.nl@SD - Apr 25, 2026 (41 programs)
ℹ   [130/494] webtv.delta.nl (nl) - RTLTelekids.nl@SD - Apr 24, 2026 (87 programs)
ℹ   [131/494] webtv.delta.nl (nl) - RTLLounge.nl@SD - Apr 24, 2026 (42 programs)
ℹ   [132/494] webtv.delta.nl (en) - MTVLive.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [133/494] webtv.delta.nl (en) - MTVLive.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [134/494] webtv.delta.nl (en) - MTV00s.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [135/494] webtv.delta.nl (en) - MTV00s.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [136/494] webtv.delta.nl (en) - MTV80s.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [137/494] webtv.delta.nl (en) - MTV80s.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [138/494] webtv.delta.nl (nl) - RTLTelekids.nl@SD - Apr 25, 2026 (88 programs)
ℹ   [139/494] webtv.delta.nl (nl) - BabyTV.uk@UK - Apr 24, 2026 (49 programs)
ℹ   [140/494] webtv.delta.nl (nl) - StingrayLiteTV.ca@SD - Apr 24, 2026 (8 programs)
ℹ   [141/494] webtv.delta.nl (nl) - StingrayLiteTV.ca@SD - Apr 25, 2026 (8 programs)
ℹ   [142/494] webtv.delta.nl (nl) - StingrayClassica.ca@SD - Apr 25, 2026 (24 programs)
ℹ   [143/494] webtv.delta.nl (nl) - StingrayClassica.ca@SD - Apr 24, 2026 (28 programs)
ℹ   [144/494] webtv.delta.nl (nl) - BabyTV.uk@UK - Apr 25, 2026 (49 programs)
ℹ   [145/494] webtv.delta.nl (en) - BBCFour.uk@UK - Apr 24, 2026 (16 programs)
ℹ   [146/494] webtv.delta.nl (nl) - StingrayDJAZZ.ca@SD - Apr 24, 2026 (27 programs)
ℹ   [147/494] webtv.delta.nl (en) - BBCFour.uk@UK - Apr 25, 2026 (13 programs)
ℹ   [148/494] webtv.delta.nl (nl) - StingrayDJAZZ.ca@SD - Apr 25, 2026 (34 programs)
ℹ   [149/494] webtv.delta.nl (de) - 89 - Apr 25, 2026 (33 programs)
