═══════════════════════════════════════════════════════════════
  Site            : tvcesoir.fr
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 29s
  Channels        : 270
  With programmes : 238
  Empty channels  : 32
  Total programs  : 7942
  Output size     : 1849938 bytes
  HTTP errors     :
    32 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:33:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:33:12 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvcesoir.fr --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 135 channel(s)
ℹ loading api data...
ℹ   [112/270] tvcesoir.fr (fr) - arte.fr@SD - Apr 25, 2026 (28 programs)
ℹ   [113/270] tvcesoir.fr (fr) - CanalPlus.fr@SD - Apr 24, 2026 (23 programs)
ℹ   [114/270] tvcesoir.fr (fr) - CanalPlus.fr@SD - Apr 25, 2026 (29 programs)
ℹ   [115/270] tvcesoir.fr (fr) - PlanetePlus.fr@SD - Apr 24, 2026 (23 programs)
ℹ   [116/270] tvcesoir.fr (fr) - PlanetePlus.fr@SD - Apr 25, 2026 (27 programs)
ℹ   [117/270] tvcesoir.fr (fr) - ParisPremiere.fr@SD - Apr 24, 2026 (19 programs)
ℹ   [118/270] tvcesoir.fr (fr) - ParisPremiere.fr@SD - Apr 25, 2026 (20 programs)
ℹ   [119/270] tvcesoir.fr (fr) - TV5Monde.fr@SD - Apr 24, 2026 (52 programs)
ℹ   [120/270] tvcesoir.fr (fr) - TV5Monde.fr@SD - Apr 25, 2026 (50 programs)
ℹ   [121/270] tvcesoir.fr (fr) - SerieClub.fr@SD - Apr 24, 2026 (22 programs)
ℹ   [122/270] tvcesoir.fr (fr) - SerieClub.fr@SD - Apr 25, 2026 (20 programs)
ℹ   [123/270] tvcesoir.fr (fr) - DiscoveryScienceEurope.uk@France - Apr 24, 2026 (31 programs)
ℹ   [124/270] tvcesoir.fr (fr) - DiscoveryScienceEurope.uk@France - Apr 25, 2026 (28 programs)
ℹ   [125/270] tvcesoir.fr (fr) - Teva.fr@SD - Apr 24, 2026 (22 programs)
ℹ   [126/270] tvcesoir.fr (fr) - Teva.fr@SD - Apr 25, 2026 (20 programs)
ℹ   [127/270] tvcesoir.fr (fr) - AB1.fr@SD - Apr 24, 2026 (36 programs)
