═══════════════════════════════════════════════════════════════
  Site            : dishtv.in
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 141s
  Channels        : 1206
  With programmes : 1181
  Empty channels  : 25
  Total programs  : 40206
  Output size     : 65483156 bytes
  Other errors    :
    1 Cannot read properties of null (reading 'token')
  Last error      : Cannot read properties of null (reading 'token')
  Generated       : 2026-04-24 10:50:49
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:48:28 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dishtv.in --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 603 channel(s)
ℹ loading api data...
ℹ   [91/1206] dishtv.in (en) - B4UBhojpuri.in@SD - Apr 25, 2026 (7 programs)
ℹ   [92/1206] dishtv.in (en) - B4UKadak.in@SD - Apr 25, 2026 (8 programs)
ℹ   [93/1206] dishtv.in (en) - B4UKadak.in@SD - Apr 24, 2026 (8 programs)
ℹ   [94/1206] dishtv.in (en) - BalleBalle.in@SD - Apr 24, 2026 (25 programs)
ℹ   [95/1206] dishtv.in (en) - BalleBalle.in@SD - Apr 25, 2026 (25 programs)
ℹ   [96/1206] dishtv.in (en) - BansalNews.in@SD - Apr 25, 2026 (0 programs)
ℹ   [97/1206] dishtv.in (en) - BansalNews.in@SD - Apr 24, 2026 (0 programs)
ℹ   [98/1206] dishtv.in (en) - BhakthiTV.in@SD - Apr 24, 2026 (48 programs)
ℹ   [99/1206] dishtv.in (en) - BhakthiTV.in@SD - Apr 25, 2026 (48 programs)
ℹ   [100/1206] dishtv.in (en) - Bharat24.in@SD - Apr 25, 2026 (45 programs)
ℹ   [101/1206] dishtv.in (en) - Bharat24.in@SD - Apr 24, 2026 (45 programs)
ℹ   [102/1206] dishtv.in (en) - BharatExpress.in@SD - Apr 25, 2026 (0 programs)
ℹ   [103/1206] dishtv.in (en) - BharatExpress.in@SD - Apr 24, 2026 (0 programs)
