═══════════════════════════════════════════════════════════════
  Site            : tv-spored.siol.net
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 153s
  Channels        : 624
  With programmes : 555
  Empty channels  : 69
  Total programs  : 16180
  Output size     : 3632568 bytes
  HTTP errors     :
    3 status code 500
  Last error      : Request failed with status code 500
  Generated       : 2026-04-24 12:59:21
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:56:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv-spored.siol.net --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 312 channel(s)
ℹ loading api data...
ℹ   [88/624] tv-spored.siol.net (sl) - cinestarfantasy - Apr 25, 2026 (11 programs)
ℹ   [89/624] tv-spored.siol.net (sl) - cinestaraction - Apr 25, 2026 (10 programs)
ℹ   [90/624] tv-spored.siol.net (sl) - cinestarfantasy - Apr 24, 2026 (11 programs)
ℹ   [91/624] tv-spored.siol.net (sl) - cinestarpr1 - Apr 24, 2026 (11 programs)
ℹ   [92/624] tv-spored.siol.net (sl) - cinestarpr1 - Apr 25, 2026 (10 programs)
ℹ   [93/624] tv-spored.siol.net (sl) - cinestarpr2 - Apr 24, 2026 (11 programs)
ℹ   [94/624] tv-spored.siol.net (sl) - cinestartv2 - Apr 25, 2026 (11 programs)
ℹ   [95/624] tv-spored.siol.net (sl) - cinestarpr2 - Apr 25, 2026 (11 programs)
ℹ   [96/624] tv-spored.siol.net (sl) - cinestartv - Apr 24, 2026 (12 programs)
ℹ   [97/624] tv-spored.siol.net (sl) - cinestartv - Apr 25, 2026 (12 programs)
ℹ   [98/624] tv-spored.siol.net (sl) - cinestartv2 - Apr 24, 2026 (10 programs)
ℹ   [99/624] tv-spored.siol.net (sl) - cmc - Apr 24, 2026 (24 programs)
ℹ   [100/624] tv-spored.siol.net (sl) - curiosity - Apr 24, 2026 (0 programs)
ℹ   [101/624] tv-spored.siol.net (sl) - cnn - Apr 25, 2026 (31 programs)
ℹ   [102/624] tv-spored.siol.net (sl) - cnn - Apr 24, 2026 (28 programs)
ℹ   [103/624] tv-spored.siol.net (sl) - cmc - Apr 25, 2026 (24 programs)
ℹ   [104/624] tv-spored.siol.net (sl) - curiosity - Apr 25, 2026 (0 programs)
ℹ   [105/624] tv-spored.siol.net (sl) - davincilear - Apr 24, 2026 (89 programs)
ℹ   [106/624] tv-spored.siol.net (sl) - davincilear - Apr 25, 2026 (89 programs)
ℹ   [107/624] tv-spored.siol.net (sl) - devilshomehd - Apr 24, 2026 (0 programs)
ℹ   [108/624] tv-spored.siol.net (sl) - discidx - Apr 24, 2026 (23 programs)
ℹ   [109/624] tv-spored.siol.net (sl) - devilshomehd - Apr 25, 2026 (0 programs)
ℹ   [110/624] tv-spored.siol.net (sl) - discidx - Apr 25, 2026 (25 programs)
ℹ   [111/624] tv-spored.siol.net (sl) - discoveryhdd - Apr 24, 2026 (0 programs)
ℹ   [112/624] tv-spored.siol.net (sl) - discoveryhdd - Apr 25, 2026 (0 programs)
ℹ   [113/624] tv-spored.siol.net (sl) - disctlc - Apr 24, 2026 (25 programs)
ℹ   [114/624] tv-spored.siol.net (sl) - disctlc - Apr 25, 2026 (21 programs)
ℹ   [115/624] tv-spored.siol.net (sl) - disney - Apr 24, 2026 (61 programs)
ℹ   [116/624] tv-spored.siol.net (sl) - disneyjr - Apr 24, 2026 (94 programs)
ℹ   [117/624] tv-spored.siol.net (sl) - disney - Apr 25, 2026 (61 programs)
ℹ   [118/624] tv-spored.siol.net (sl) - dizi - Apr 24, 2026 (28 programs)
ℹ   [119/624] tv-spored.siol.net (sl) - disneyjr - Apr 25, 2026 (87 programs)
