═══════════════════════════════════════════════════════════════
  Site            : tataplay.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 320s
  Channels        : 2194
  With programmes : 2125
  Empty channels  : 69
  Total programs  : 69917
  Output size     : 23233016 bytes
  Generated       : 2026-04-24 12:19:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:14:00 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tataplay.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1097 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [109/2194] tataplay.com (en) - 406 - Apr 24, 2026 (18 programs)
ℹ   [110/2194] tataplay.com (en) - 406 - Apr 25, 2026 (22 programs)
ℹ   [111/2194] tataplay.com (en) - 413 - Apr 24, 2026 (32 programs)
ℹ   [112/2194] tataplay.com (en) - 418 - Apr 24, 2026 (24 programs)
ℹ   [113/2194] tataplay.com (en) - 413 - Apr 25, 2026 (27 programs)
ℹ   [114/2194] tataplay.com (en) - 435 - Apr 24, 2026 (47 programs)
ℹ   [115/2194] tataplay.com (en) - 435 - Apr 25, 2026 (47 programs)
ℹ   [116/2194] tataplay.com (en) - 418 - Apr 25, 2026 (17 programs)
ℹ   [117/2194] tataplay.com (en) - 446 - Apr 24, 2026 (56 programs)
ℹ   [118/2194] tataplay.com (en) - 446 - Apr 25, 2026 (49 programs)
ℹ   [119/2194] tataplay.com (en) - 450 - Apr 24, 2026 (48 programs)
ℹ   [120/2194] tataplay.com (en) - 450 - Apr 25, 2026 (48 programs)
ℹ   [121/2194] tataplay.com (en) - 460 - Apr 24, 2026 (35 programs)
ℹ   [122/2194] tataplay.com (en) - 460 - Apr 25, 2026 (32 programs)
ℹ   [123/2194] tataplay.com (en) - 462 - Apr 24, 2026 (22 programs)
ℹ   [124/2194] tataplay.com (en) - 464 - Apr 24, 2026 (30 programs)
ℹ   [125/2194] tataplay.com (en) - 464 - Apr 25, 2026 (32 programs)
ℹ   [126/2194] tataplay.com (en) - 462 - Apr 25, 2026 (23 programs)
ℹ   [127/2194] tataplay.com (en) - 480 - Apr 24, 2026 (39 programs)
ℹ   [128/2194] tataplay.com (en) - 486 - Apr 24, 2026 (20 programs)
ℹ   [129/2194] tataplay.com (en) - 486 - Apr 25, 2026 (21 programs)
ℹ   [130/2194] tataplay.com (en) - 480 - Apr 25, 2026 (40 programs)
ℹ   [131/2194] tataplay.com (en) - 515 - Apr 24, 2026 (19 programs)
ℹ   [132/2194] tataplay.com (en) - 515 - Apr 25, 2026 (16 programs)
ℹ   [133/2194] tataplay.com (en) - 516 - Apr 24, 2026 (28 programs)
ℹ   [134/2194] tataplay.com (en) - 503 - Apr 25, 2026 (8 programs)
ℹ   [135/2194] tataplay.com (en) - 503 - Apr 24, 2026 (10 programs)
ℹ   [136/2194] tataplay.com (en) - 516 - Apr 25, 2026 (23 programs)
ℹ   [137/2194] tataplay.com (en) - 543 - Apr 25, 2026 (26 programs)
ℹ   [138/2194] tataplay.com (en) - 552 - Apr 24, 2026 (47 programs)
ℹ   [139/2194] tataplay.com (en) - 543 - Apr 24, 2026 (34 programs)
ℹ   [140/2194] tataplay.com (en) - 544 - Apr 24, 2026 (34 programs)
ℹ   [141/2194] tataplay.com (en) - 544 - Apr 25, 2026 (39 programs)
ℹ   [142/2194] tataplay.com (en) - 554 - Apr 24, 2026 (51 programs)
ℹ   [143/2194] tataplay.com (en) - 554 - Apr 25, 2026 (49 programs)
