═══════════════════════════════════════════════════════════════
  Site            : tvtv.us
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 374s
  Channels        : 4598
  With programmes : 398
  Empty channels  : 4200
  Total programs  : 12033
  Output size     : 2294927 bytes
  HTTP errors     :
    4190 status code 429
    8 status code 403
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 13:03:58
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:57:44 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvtv.us --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 2299 channel(s)
ℹ   [80/4598] tvtv.us (en) - HBOSignature.us@East - Apr 25, 2026 (17 programs)
ℹ   [81/4598] tvtv.us (en) - HBO.us@West - Apr 24, 2026 (21 programs)
ℹ   [82/4598] tvtv.us (en) - HBO.us@West - Apr 25, 2026 (21 programs)
ℹ   [83/4598] tvtv.us (en) - ATNZoom.ca@SD - Apr 24, 2026 (19 programs)
ℹ   [84/4598] tvtv.us (en) - ATNZoom.ca@SD - Apr 25, 2026 (18 programs)
ℹ   [85/4598] tvtv.us (en) - HSN.us@East - Apr 24, 2026 (25 programs)
ℹ   [86/4598] tvtv.us (en) - HSN.us@East - Apr 25, 2026 (25 programs)
ℹ   [87/4598] tvtv.us (en) - HSN2.us@SD - Apr 24, 2026 (25 programs)
ℹ   [88/4598] tvtv.us (en) - HSN2.us@SD - Apr 25, 2026 (25 programs)
ℹ   [89/4598] tvtv.us (en) - NBCSportsWashington.us@SD - Apr 24, 2026 (34 programs)
ℹ   [90/4598] tvtv.us (en) - NBCSportsWashington.us@SD - Apr 25, 2026 (37 programs)
ℹ   [91/4598] tvtv.us (en) - 10465 - Apr 24, 2026 (36 programs)
ℹ   [92/4598] tvtv.us (en) - 10465 - Apr 25, 2026 (38 programs)
ℹ   [93/4598] tvtv.us (en) - 10471 - Apr 24, 2026 (35 programs)
ℹ   [94/4598] tvtv.us (en) - 10471 - Apr 25, 2026 (29 programs)
ℹ   [95/4598] tvtv.us (en) - 10487 - Apr 24, 2026 (35 programs)
ℹ   [96/4598] tvtv.us (en) - 10487 - Apr 25, 2026 (32 programs)
ℹ   [97/4598] tvtv.us (en) - ETTVChina.tw@SD - Apr 24, 2026 (32 programs)
ℹ   [98/4598] tvtv.us (en) - ETTVChina.tw@SD - Apr 25, 2026 (36 programs)
ℹ   [99/4598] tvtv.us (en) - ArirangWorld.kr@SD - Apr 24, 2026 (31 programs)
ℹ   [100/4598] tvtv.us (en) - ArirangWorld.kr@SD - Apr 25, 2026 (30 programs)
ℹ   [101/4598] tvtv.us (en) - 10601 - Apr 24, 2026 (41 programs)
