═══════════════════════════════════════════════════════════════
  Site            : freeview.co.uk
  Status          : PASS
  Attempts used   : 4 / 10
  Total elapsed   : 4486s
  Channels        : 2343
  With programmes : 2339
  Empty channels  : 4
  Total programs  : 17611
  Output size     : 6500581 bytes
  Generated       : 2026-04-24 12:12:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:57:32 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=freeview.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 352 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [100/704] freeview.co.uk (en) - 64257#27808 - Apr 25, 2026 (25 programs)
ℹ   [101/704] freeview.co.uk (en) - 64257#28160 - Apr 25, 2026 (16 programs)
ℹ   [102/704] freeview.co.uk (en) - 64257#28384 - Apr 24, 2026 (14 programs)
ℹ   [103/704] freeview.co.uk (en) - 64257#28160 - Apr 24, 2026 (26 programs)
ℹ   [104/704] freeview.co.uk (en) - 64257#28384 - Apr 25, 2026 (14 programs)
ℹ   [105/704] freeview.co.uk (en) - 64257#33920 - Apr 24, 2026 (41 programs)
ℹ   [106/704] freeview.co.uk (en) - 64257#33664 - Apr 24, 2026 (51 programs)
ℹ   [107/704] freeview.co.uk (en) - 64257#33664 - Apr 25, 2026 (48 programs)
ℹ   [108/704] freeview.co.uk (en) - 64257#33920 - Apr 25, 2026 (48 programs)
ℹ   [109/704] freeview.co.uk (en) - 64257#33984 - Apr 24, 2026 (67 programs)
ℹ   [110/704] freeview.co.uk (en) - 64257#34048 - Apr 25, 2026 (42 programs)
ℹ   [111/704] freeview.co.uk (en) - 64257#34048 - Apr 24, 2026 (41 programs)
ℹ   [112/704] freeview.co.uk (en) - 64257#34176 - Apr 24, 2026 (47 programs)
ℹ   [113/704] freeview.co.uk (en) - 64257#33984 - Apr 25, 2026 (66 programs)
ℹ   [114/704] freeview.co.uk (en) - 64257#34496 - Apr 24, 2026 (13 programs)
ℹ   [115/704] freeview.co.uk (en) - 64257#34496 - Apr 25, 2026 (13 programs)
ℹ   [116/704] freeview.co.uk (en) - 64257#34176 - Apr 25, 2026 (47 programs)
ℹ   [117/704] freeview.co.uk (en) - 64257#34560 - Apr 24, 2026 (18 programs)
ℹ   [118/704] freeview.co.uk (en) - 64265#6147 - Apr 24, 2026 (7 programs)
ℹ   [119/704] freeview.co.uk (en) - 64257#34560 - Apr 25, 2026 (17 programs)
ℹ   [120/704] freeview.co.uk (en) - 64265#6147 - Apr 25, 2026 (11 programs)
ℹ   [121/704] freeview.co.uk (en) - 64265#6211 - Apr 24, 2026 (9 programs)
ℹ   [122/704] freeview.co.uk (en) - 64265#6220 - Apr 24, 2026 (7 programs)
ℹ   [123/704] freeview.co.uk (en) - 64265#6211 - Apr 25, 2026 (11 programs)
