═══════════════════════════════════════════════════════════════
  Site            : pickx.be
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 137s
  Channels        : 808
  With programmes : 736
  Empty channels  : 72
  Total programs  : 52730
  Output size     : 35673740 bytes
  Generated       : 2026-04-24 11:38:12
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:35:55 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=pickx.be --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 404 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [77/808] pickx.be (fr) - EuronewsFrench.fr@SD - Apr 25, 2026 (185 programs)
ℹ   [78/808] pickx.be (fr) - EuronewsFrench.fr@SD - Apr 24, 2026 (161 programs)
ℹ   [79/808] pickx.be (fr) - CrimeDistrict.fr@SD - Apr 24, 2026 (63 programs)
ℹ   [80/808] pickx.be (fr) - BelRTL.be@HD - Apr 24, 2026 (32 programs)
ℹ   [81/808] pickx.be (nl) - VTM3.be@HD - Apr 24, 2026 (39 programs)
ℹ   [82/808] pickx.be (nl) - VTM3.be@HD - Apr 25, 2026 (33 programs)
ℹ   [83/808] pickx.be (nl) - EclipsTV.be@SD - Apr 25, 2026 (74 programs)
ℹ   [84/808] pickx.be (fr) - ABXplore.be@HD - Apr 24, 2026 (67 programs)
ℹ   [85/808] pickx.be (fr) - CrimeDistrict.fr@SD - Apr 25, 2026 (61 programs)
ℹ   [86/808] pickx.be (fr) - BelRTL.be@HD - Apr 25, 2026 (27 programs)
ℹ   [87/808] pickx.be (nl) - EclipsTV.be@SD - Apr 24, 2026 (73 programs)
ℹ   [88/808] pickx.be (nl) - Njam.be@HD - Apr 25, 2026 (97 programs)
ℹ   [89/808] pickx.be (nl) - Njam.be@SD - Apr 24, 2026 (101 programs)
ℹ   [90/808] pickx.be (fr) - arte.fr@HD - Apr 24, 2026 (57 programs)
