═══════════════════════════════════════════════════════════════
  Site            : epg.telemach.ba
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 106s
  Channels        : 952
  With programmes : 668
  Empty channels  : 284
  Total programs  : 24179
  Output size     : 10845555 bytes
  HTTP errors     :
    284 status code 400
  Last error      : Request failed with status code 400
  Generated       : 2026-04-24 10:56:10
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:54:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=epg.telemach.ba --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 476 channel(s)
ℹ loading api data...
ℹ   [142/952] epg.telemach.ba (hr) - 1104 - Apr 25, 2026 (9 programs)
ℹ   [143/952] epg.telemach.ba (hr) - 1104 - Apr 24, 2026 (10 programs)
ℹ   [144/952] epg.telemach.ba (hr) - 1102 - Apr 25, 2026 (26 programs)
ℹ   [145/952] epg.telemach.ba (hr) - 1142 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [146/952] epg.telemach.ba (hr) - 1105 - Apr 24, 2026 (111 programs)
ℹ   [147/952] epg.telemach.ba (hr) - 1142 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [148/952] epg.telemach.ba (hr) - 1120 - Apr 24, 2026 (92 programs)
ℹ   [149/952] epg.telemach.ba (hr) - 1120 - Apr 25, 2026 (89 programs)
ℹ   [150/952] epg.telemach.ba (hr) - 1143 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [151/952] epg.telemach.ba (hr) - 1143 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [152/952] epg.telemach.ba (hr) - 1337 - Apr 25, 2026 (22 programs)
ℹ   [153/952] epg.telemach.ba (hr) - 1337 - Apr 24, 2026 (19 programs)
ℹ   [154/952] epg.telemach.ba (hr) - 1105 - Apr 25, 2026 (113 programs)
ℹ   [155/952] epg.telemach.ba (hr) - 1338 - Apr 24, 2026 (21 programs)
ℹ   [156/952] epg.telemach.ba (hr) - 1338 - Apr 25, 2026 (14 programs)
ℹ   [157/952] epg.telemach.ba (hr) - 1477 - Apr 24, 2026 (13 programs)
ℹ   [158/952] epg.telemach.ba (hr) - 1341 - Apr 24, 2026 (29 programs)
ℹ   [159/952] epg.telemach.ba (hr) - 1341 - Apr 25, 2026 (31 programs)
ℹ   [160/952] epg.telemach.ba (hr) - 1477 - Apr 25, 2026 (13 programs)
ℹ   [161/952] epg.telemach.ba (hr) - 1478 - Apr 24, 2026 (27 programs)
ℹ   [162/952] epg.telemach.ba (hr) - 1478 - Apr 25, 2026 (25 programs)
ℹ   [163/952] epg.telemach.ba (hr) - 1493 - Apr 24, 2026 (24 programs)
ℹ   [164/952] epg.telemach.ba (hr) - 1492 - Apr 24, 2026 (91 programs)
ℹ   [165/952] epg.telemach.ba (hr) - 1492 - Apr 25, 2026 (89 programs)
ℹ   [166/952] epg.telemach.ba (hr) - 1491 - Apr 24, 2026 (124 programs)
ℹ   [167/952] epg.telemach.ba (hr) - 1491 - Apr 25, 2026 (122 programs)
ℹ   [168/952] epg.telemach.ba (hr) - 1493 - Apr 25, 2026 (25 programs)
ℹ   [169/952] epg.telemach.ba (hr) - 1494 - Apr 24, 2026 (22 programs)
ℹ   [170/952] epg.telemach.ba (hr) - 1494 - Apr 25, 2026 (18 programs)
ℹ   [171/952] epg.telemach.ba (hr) - 1496 - Apr 24, 2026 (36 programs)
ℹ   [172/952] epg.telemach.ba (hr) - 1496 - Apr 25, 2026 (30 programs)
