═══════════════════════════════════════════════════════════════
  Site            : guida.tv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 34s
  Channels        : 176
  With programmes : 158
  Empty channels  : 18
  Total programs  : 5804
  Output size     : 1249849 bytes
  HTTP errors     :
    16 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 11:03:51
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:03:16 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=guida.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 88 channel(s)
ℹ loading api data...
ℹ   [95/176] guida.tv (it) - K2.it@SD - Apr 25, 2026 (75 programs)
ℹ   [96/176] guida.tv (it) - La5.it@SD - Apr 25, 2026 (22 programs)
ℹ   [97/176] guida.tv (it) - LA7d.it@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [98/176] guida.tv (it) - LA7d.it@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [99/176] guida.tv (it) - MediasetExtra.it@SD - Apr 24, 2026 (9 programs)
ℹ   [100/176] guida.tv (it) - MediasetExtra.it@SD - Apr 25, 2026 (9 programs)
ℹ   [101/176] guida.tv (it) - 20.it@SD - Apr 24, 2026 (29 programs)
ℹ   [102/176] guida.tv (it) - 20.it@SD - Apr 25, 2026 (23 programs)
ℹ   [103/176] guida.tv (it) - MilanTV.it@SD - Apr 24, 2026 (23 programs)
ℹ   [104/176] guida.tv (it) - MilanTV.it@SD - Apr 25, 2026 (32 programs)
ℹ   [105/176] guida.tv (it) - PescaeCaccia.it@SD - Apr 24, 2026 (41 programs)
ℹ   [106/176] guida.tv (it) - PescaeCaccia.it@SD - Apr 25, 2026 (43 programs)
ℹ   [107/176] guida.tv (it) - Boomerang.it@SD - Apr 24, 2026 (122 programs)
ℹ   [108/176] guida.tv (it) - Boomerang.it@SD - Apr 25, 2026 (119 programs)
ℹ   [109/176] guida.tv (it) - RaiGulp.it@SD - Apr 24, 2026 (92 programs)
ℹ   [110/176] guida.tv (it) - RaiMovie.it@SD - Apr 24, 2026 (15 programs)
ℹ   [111/176] guida.tv (it) - RaiMovie.it@SD - Apr 25, 2026 (15 programs)
ℹ   [112/176] guida.tv (it) - RaiPremium.it@SD - Apr 24, 2026 (24 programs)
ℹ   [113/176] guida.tv (it) - RaiGulp.it@SD - Apr 25, 2026 (85 programs)
ℹ   [114/176] guida.tv (it) - RaiPremium.it@SD - Apr 25, 2026 (23 programs)
ℹ   [115/176] guida.tv (it) - RaiSport.it@HD - Apr 24, 2026 (20 programs)
ℹ   [116/176] guida.tv (it) - RaiSport.it@HD - Apr 25, 2026 (16 programs)
ℹ   [117/176] guida.tv (it) - RadioNorbaTV.it@SD - Apr 24, 2026 (29 programs)
ℹ   [118/176] guida.tv (it) - RadioNorbaTV.it@SD - Apr 25, 2026 (24 programs)
ℹ   [119/176] guida.tv (it) - RaiScuola.it@SD - Apr 24, 2026 (34 programs)
ℹ   [120/176] guida.tv (it) - RaiScuola.it@SD - Apr 25, 2026 (34 programs)
ℹ   [121/176] guida.tv (it) - RaiStoria.it@SD - Apr 24, 2026 (40 programs)
ℹ   [122/176] guida.tv (it) - RaiStoria.it@SD - Apr 25, 2026 (29 programs)
ℹ   [123/176] guida.tv (it) - RealTime.it@SD - Apr 24, 2026 (26 programs)
ℹ   [124/176] guida.tv (it) - RealTime.it@SD - Apr 25, 2026 (20 programs)
ℹ   [125/176] guida.tv (it) - RTL1025TV.it@SD - Apr 24, 2026 (13 programs)
ℹ   [126/176] guida.tv (it) - RTL1025TV.it@SD - Apr 25, 2026 (12 programs)
ℹ   [127/176] guida.tv (it) - EuronewsItalian.fr@SD - Apr 24, 2026 (81 programs)
ℹ   [128/176] guida.tv (it) - SkyTG24.it@SD - Apr 24, 2026 (54 programs)
ℹ   [129/176] guida.tv (it) - RaiYoyo.it@SD - Apr 25, 2026 (161 programs)
ℹ   [130/176] guida.tv (it) - EuronewsItalian.fr@SD - Apr 25, 2026 (109 programs)
ℹ   [131/176] guida.tv (it) - RaiYoyo.it@SD - Apr 24, 2026 (169 programs)
ℹ   [132/176] guida.tv (it) - SkyCinemaComedy.it@SD - Apr 24, 2026 (13 programs)
ℹ   [133/176] guida.tv (it) - SkyTG24.it@SD - Apr 25, 2026 (58 programs)
