═══════════════════════════════════════════════════════════════
  Site            : epgshare01.online
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 632s
  Channels        : 3920
  With programmes : 2097
  Empty channels  : 1823
  Total programs  : 0
  Output size     : 0 bytes
  Generated       : 2026-04-24 11:04:30
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:53:58 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=epgshare01.online --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 20706 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [71/41412] epgshare01.online (es) - AR1#Canal.Golden.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [72/41412] epgshare01.online (es) - AR1#Canal.Golden.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [73/41412] epgshare01.online (es) - AR1#Canal.HBO.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [74/41412] epgshare01.online (es) - AR1#Canal.HBO.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [75/41412] epgshare01.online (es) - AR1#Canal.HBO.Family.Latinoamérica.ar - Apr 24, 2026 (0 programs)
ℹ   [76/41412] epgshare01.online (es) - AR1#Canal.HBO.Family.Latinoamérica.ar - Apr 25, 2026 (0 programs)
ℹ   [77/41412] epgshare01.online (es) - AR1#Canal.HBO.Mundi.ar - Apr 24, 2026 (0 programs)
ℹ   [78/41412] epgshare01.online (es) - AR1#Canal.HBO.Mundi.ar - Apr 25, 2026 (0 programs)
ℹ   [79/41412] epgshare01.online (es) - AR1#Canal.HBO.Plus.ar - Apr 24, 2026 (0 programs)
ℹ   [80/41412] epgshare01.online (es) - AR1#Canal.HBO.Plus.ar - Apr 25, 2026 (0 programs)
ℹ   [81/41412] epgshare01.online (es) - AR1#Canal.HBO.Pop.ar - Apr 24, 2026 (0 programs)
ℹ   [82/41412] epgshare01.online (es) - AR1#Canal.HBO.Pop.ar - Apr 25, 2026 (0 programs)
ℹ   [83/41412] epgshare01.online (es) - AR1#Canal.HBO.Signature.Latinoamérica.ar - Apr 24, 2026 (0 programs)
ℹ   [84/41412] epgshare01.online (es) - AR1#Canal.HBO.Signature.Latinoamérica.ar - Apr 25, 2026 (0 programs)
ℹ   [85/41412] epgshare01.online (es) - AR1#Canal.HBO.Xtreme.ar - Apr 24, 2026 (0 programs)
ℹ   [86/41412] epgshare01.online (es) - AR1#Canal.HBO.Xtreme.ar - Apr 25, 2026 (0 programs)
ℹ   [87/41412] epgshare01.online (es) - AR1#Canal.History.2.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [88/41412] epgshare01.online (es) - AR1#Canal.History.2.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [89/41412] epgshare01.online (es) - AR1#Canal.HTV.ar - Apr 24, 2026 (0 programs)
ℹ   [90/41412] epgshare01.online (es) - AR1#Canal.HTV.ar - Apr 25, 2026 (0 programs)
ℹ   [91/41412] epgshare01.online (es) - AR1#Canal.Institucional.(Colombia).ar - Apr 24, 2026 (0 programs)
ℹ   [92/41412] epgshare01.online (es) - AR1#Canal.Institucional.(Colombia).ar - Apr 25, 2026 (0 programs)
ℹ   [93/41412] epgshare01.online (es) - AR1#Canal.La.Tele.(Paraguay).ar - Apr 24, 2026 (0 programs)
ℹ   [94/41412] epgshare01.online (es) - AR1#Canal.La.Tele.(Paraguay).ar - Apr 25, 2026 (0 programs)
ℹ   [95/41412] epgshare01.online (es) - AR1#Canal.Las.Estrellas.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [96/41412] epgshare01.online (es) - AR1#Canal.Las.Estrellas.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [97/41412] epgshare01.online (es) - AR1#Canal.Lifetime.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [98/41412] epgshare01.online (es) - AR1#Canal.Lifetime.(Argentina).ar - Apr 25, 2026 (0 programs)
