═══════════════════════════════════════════════════════════════
  Site            : tv.boxbg.net
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 20s
  Channels        : 166
  With programmes : 136
  Empty channels  : 30
  Total programs  : 3262
  Output size     : 948365 bytes
  Generated       : 2026-04-24 12:32:39
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:32:18 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv.boxbg.net --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 83 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [97/166] tv.boxbg.net (bg) - Nat Geo Wild/99 - Apr 25, 2026 (34 programs)
ℹ   [98/166] tv.boxbg.net (bg) - Nat Geo Wild/99 - Apr 24, 2026 (33 programs)
ℹ   [99/166] tv.boxbg.net (bg) - National Geographic Channel/100 - Apr 24, 2026 (31 programs)
ℹ   [100/166] tv.boxbg.net (bg) - National Geographic Channel/100 - Apr 25, 2026 (32 programs)
ℹ   [101/166] tv.boxbg.net (bg) - Nick Jr./132 - Apr 24, 2026 (84 programs)
ℹ   [102/166] tv.boxbg.net (bg) - Nick Jr./132 - Apr 25, 2026 (19 programs)
ℹ   [103/166] tv.boxbg.net (bg) - Nickelodeon/128 - Apr 24, 2026 (66 programs)
ℹ   [104/166] tv.boxbg.net (bg) - Nickelodeon/128 - Apr 25, 2026 (18 programs)
ℹ   [105/166] tv.boxbg.net (bg) - NOVANEWS/36 - Apr 24, 2026 (46 programs)
ℹ   [106/166] tv.boxbg.net (bg) - NOVANEWS/36 - Apr 25, 2026 (33 programs)
ℹ   [107/166] tv.boxbg.net (bg) - PickboxTV/161 - Apr 24, 2026 (25 programs)
ℹ   [108/166] tv.boxbg.net (bg) - PickboxTV/161 - Apr 25, 2026 (24 programs)
ℹ   [109/166] tv.boxbg.net (bg) - RING.BG/18 - Apr 25, 2026 (1 programs)
ℹ   [110/166] tv.boxbg.net (bg) - RING.BG/18 - Apr 24, 2026 (11 programs)
ℹ   [111/166] tv.boxbg.net (bg) - StarChannel/124 - Apr 24, 2026 (29 programs)
ℹ   [112/166] tv.boxbg.net (bg) - StarChannel/124 - Apr 25, 2026 (27 programs)
ℹ   [113/166] tv.boxbg.net (bg) - StarCrime/85 - Apr 24, 2026 (25 programs)
ℹ   [114/166] tv.boxbg.net (bg) - StarCrime/85 - Apr 25, 2026 (25 programs)
ℹ   [115/166] tv.boxbg.net (bg) - StarLife/86 - Apr 24, 2026 (58 programs)
ℹ   [116/166] tv.boxbg.net (bg) - StarLife/86 - Apr 25, 2026 (68 programs)
ℹ   [117/166] tv.boxbg.net (bg) - The Voice/20 - Apr 25, 2026 (8 programs)
ℹ   [118/166] tv.boxbg.net (bg) - The Voice/20 - Apr 24, 2026 (10 programs)
ℹ   [119/166] tv.boxbg.net (bg) - TLC Balkans/108 - Apr 24, 2026 (27 programs)
ℹ   [120/166] tv.boxbg.net (bg) - TLC Balkans/108 - Apr 25, 2026 (22 programs)
ℹ   [121/166] tv.boxbg.net (bg) - Travel Channel/109 - Apr 24, 2026 (25 programs)
ℹ   [122/166] tv.boxbg.net (bg) - Travel Channel/109 - Apr 25, 2026 (24 programs)
ℹ   [123/166] tv.boxbg.net (bg) - TV1/24 - Apr 24, 2026 (22 programs)
ℹ   [124/166] tv.boxbg.net (bg) - TV1/24 - Apr 25, 2026 (25 programs)
ℹ   [125/166] tv.boxbg.net (bg) - Viasat Explorer/112 - Apr 24, 2026 (24 programs)
ℹ   [126/166] tv.boxbg.net (bg) - Viasat Explorer/112 - Apr 25, 2026 (25 programs)
ℹ   [127/166] tv.boxbg.net (bg) - Viasat History/113 - Apr 24, 2026 (21 programs)
ℹ   [128/166] tv.boxbg.net (bg) - Viasat History/113 - Apr 25, 2026 (22 programs)
ℹ   [129/166] tv.boxbg.net (bg) - Viasat Nature/114 - Apr 24, 2026 (32 programs)
ℹ   [130/166] tv.boxbg.net (bg) - Viasat Nature/114 - Apr 25, 2026 (30 programs)
ℹ   [131/166] tv.boxbg.net (bg) - Vivacom Arena/144 - Apr 24, 2026 (16 programs)
ℹ   [132/166] tv.boxbg.net (bg) - Vivacom Arena/144 - Apr 25, 2026 (5 programs)
ℹ   [133/166] tv.boxbg.net (bg) - Viasat TV 1000/115 - Apr 24, 2026 (11 programs)
ℹ   [134/166] tv.boxbg.net (bg) - Viasat TV 1000/115 - Apr 25, 2026 (10 programs)
ℹ   [135/166] tv.boxbg.net (bg) - Алфа/120 - Apr 24, 2026 (0 programs)
ℹ   [136/166] tv.boxbg.net (bg) - Алфа/120 - Apr 25, 2026 (0 programs)
ℹ   [137/166] tv.boxbg.net (bg) - БНТ1/29 - Apr 24, 2026 (34 programs)
