═══════════════════════════════════════════════════════════════
  Site            : melita.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 29s
  Channels        : 254
  With programmes : 204
  Empty channels  : 50
  Total programs  : 6887
  Output size     : 3546428 bytes
  HTTP errors     :
    18 status code 410
  Last error      : Request failed with status code 410
  Generated       : 2026-04-24 11:12:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:11:51 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=melita.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 127 channel(s)
ℹ loading api data...
ℹ   [214/254] melita.com (en) - Fox.gr@HD - Apr 25, 2026 (45 programs)
ℹ   [215/254] melita.com (en) - CartoonitoCEE.uk@SD - Apr 24, 2026 (34 programs)
ℹ   [216/254] melita.com (en) - CartoonitoCEE.uk@SD - Apr 25, 2026 (34 programs)
ℹ   [217/254] melita.com (it) - Canale5.it@SD - Apr 24, 2026 (43 programs)
ℹ   [218/254] melita.com (it) - Canale5.it@SD - Apr 25, 2026 (42 programs)
ℹ   [219/254] melita.com (en) - Eurosport2.fr@France - Apr 24, 2026 (16 programs)
ℹ   [220/254] melita.com (en) - Eurosport2.fr@France - Apr 25, 2026 (17 programs)
ℹ   [221/254] melita.com (en) - DiscoveryChannelEurope.uk@Malta - Apr 24, 2026 (30 programs)
ℹ   [222/254] melita.com (en) - DiscoveryChannelEurope.uk@Malta - Apr 25, 2026 (27 programs)
ℹ   [223/254] melita.com (en) - MTVGlobal.uk@SD - Apr 24, 2026 (47 programs)
ℹ   [224/254] melita.com (en) - MTVGlobal.uk@SD - Apr 25, 2026 (43 programs)
ℹ   [225/254] melita.com (en) - e9b2cec6-22e1-4056-9cb5-460c6cad3f84 - Apr 24, 2026 (31 programs)
ℹ   [226/254] melita.com (en) - e9b2cec6-22e1-4056-9cb5-460c6cad3f84 - Apr 25, 2026 (31 programs)
ℹ   [227/254] melita.com (en) - DiscoveryScienceEurope.uk@Italy - Apr 24, 2026 (0 programs)
ℹ   [228/254] melita.com (en) - DiscoveryScienceEurope.uk@Italy - Apr 25, 2026 (0 programs)
ℹ   [229/254] melita.com (en) - JimJamEurope.uk@SD - Apr 24, 2026 (147 programs)
ℹ   [230/254] melita.com (en) - ec88d11a-46e7-4182-a7c9-167e97f927f0 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [231/254] melita.com (en) - JimJamEurope.uk@SD - Apr 25, 2026 (148 programs)
ℹ   [232/254] melita.com (en) - ec88d11a-46e7-4182-a7c9-167e97f927f0 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [233/254] melita.com (mt) - Xejk.mt@SD - Apr 24, 2026 (8 programs)
ℹ   [234/254] melita.com (mt) - Xejk.mt@SD - Apr 25, 2026 (8 programs)
ℹ   [235/254] melita.com (de) - RTLZwei.de@SD - Apr 25, 2026 (14 programs)
ℹ   [236/254] melita.com (de) - RTLZwei.de@SD - Apr 24, 2026 (19 programs)
ℹ   [237/254] melita.com (en) - ParliamentofMalta.mt@SD - Apr 24, 2026 (3 programs)
ℹ   [238/254] melita.com (en) - ParliamentofMalta.mt@SD - Apr 25, 2026 (3 programs)
ℹ   [239/254] melita.com (en) - EWTN.us@Europe - Apr 24, 2026 (33 programs)
ℹ   [240/254] melita.com (en) - CBSRealityEMEA.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [241/254] melita.com (en) - EWTN.us@Europe - Apr 25, 2026 (30 programs)
ℹ   [242/254] melita.com (en) - CBSRealityEMEA.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [243/254] melita.com (en) - FoodNetworkEMEA.us@SD - Apr 24, 2026 (35 programs)
ℹ   [244/254] melita.com (en) - FoodNetworkEMEA.us@SD - Apr 25, 2026 (33 programs)
ℹ   [245/254] melita.com (en) - f4554e89-1dc7-4086-bd62-7891b7dfb79f - Apr 24, 2026 (0 programs)
ℹ   [246/254] melita.com (en) - f4554e89-1dc7-4086-bd62-7891b7dfb79f - Apr 25, 2026 (0 programs)
ℹ   [247/254] melita.com (en) - StingrayiConcerts.ca@SD - Apr 24, 2026 (12 programs)
ℹ   [248/254] melita.com (en) - StingrayiConcerts.ca@SD - Apr 25, 2026 (8 programs)
ℹ   [249/254] melita.com (es) - TVEInternacionalEuropeAsia.es@SD - Apr 24, 2026 (27 programs)
ℹ   [250/254] melita.com (en) - ff10cb21-d45d-46dc-8b98-6d9cf5abd9aa - Apr 24, 2026 (0 programs)
ℹ   [251/254] melita.com (es) - TVEInternacionalEuropeAsia.es@SD - Apr 25, 2026 (29 programs)
