═══════════════════════════════════════════════════════════════
  Site            : dsmart.com.tr
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 27s
  Channels        : 200
  With programmes : 169
  Empty channels  : 31
  Total programs  : 5149
  Output size     : 1583812 bytes
  Generated       : 2026-04-24 10:50:35
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:50:08 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dsmart.com.tr --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 100 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [81/200] dsmart.com.tr (tr) - 24TV.tr@SD - Apr 24, 2026 (17 programs)
ℹ   [82/200] dsmart.com.tr (tr) - 24TV.tr@SD - Apr 25, 2026 (21 programs)
ℹ   [83/200] dsmart.com.tr (tr) - NTV.tr@SD - Apr 24, 2026 (72 programs)
ℹ   [84/200] dsmart.com.tr (tr) - NTV.tr@SD - Apr 25, 2026 (66 programs)
ℹ   [85/200] dsmart.com.tr (tr) - TGRTHaber.tr@SD - Apr 24, 2026 (28 programs)
ℹ   [86/200] dsmart.com.tr (tr) - TGRTHaber.tr@SD - Apr 25, 2026 (29 programs)
ℹ   [87/200] dsmart.com.tr (tr) - BloombergHT.tr@SD - Apr 24, 2026 (31 programs)
ℹ   [88/200] dsmart.com.tr (tr) - BloombergHT.tr@SD - Apr 25, 2026 (37 programs)
ℹ   [89/200] dsmart.com.tr (tr) - TRTKurdi.tr@SD - Apr 24, 2026 (25 programs)
ℹ   [90/200] dsmart.com.tr (tr) - TRTKurdi.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [91/200] dsmart.com.tr (tr) - TRTAvaz.tr@SD - Apr 24, 2026 (62 programs)
ℹ   [92/200] dsmart.com.tr (tr) - TRTAvaz.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [93/200] dsmart.com.tr (tr) - TRTTurk.tr@SD - Apr 24, 2026 (47 programs)
ℹ   [94/200] dsmart.com.tr (tr) - TRTTurk.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [95/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c60624f - Apr 24, 2026 (52 programs)
ℹ   [96/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c60624f - Apr 25, 2026 (71 programs)
ℹ   [97/200] dsmart.com.tr (tr) - DiziSmartPremium.tr@SD - Apr 24, 2026 (24 programs)
ℹ   [98/200] dsmart.com.tr (tr) - DiziSmartPremium.tr@SD - Apr 25, 2026 (24 programs)
ℹ   [99/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c60626d - Apr 24, 2026 (68 programs)
ℹ   [100/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c60626d - Apr 25, 2026 (68 programs)
ℹ   [101/200] dsmart.com.tr (tr) - NBATV.us@SD - Apr 24, 2026 (0 programs)
ℹ   [102/200] dsmart.com.tr (tr) - NBATV.us@SD - Apr 25, 2026 (0 programs)
ℹ   [103/200] dsmart.com.tr (tr) - SporSmart.tr@SD - Apr 24, 2026 (16 programs)
ℹ   [104/200] dsmart.com.tr (tr) - SporSmart.tr@SD - Apr 25, 2026 (13 programs)
ℹ   [105/200] dsmart.com.tr (tr) - InvestigationDiscoveryEurope.us@SD - Apr 24, 2026 (24 programs)
ℹ   [106/200] dsmart.com.tr (tr) - InvestigationDiscoveryEurope.us@SD - Apr 25, 2026 (26 programs)
ℹ   [107/200] dsmart.com.tr (tr) - MovieSmartClassic.tr@SD - Apr 24, 2026 (28 programs)
ℹ   [108/200] dsmart.com.tr (tr) - MovieSmartClassic.tr@SD - Apr 25, 2026 (15 programs)
ℹ   [109/200] dsmart.com.tr (tr) - ShowTV.tr@SD - Apr 24, 2026 (10 programs)
ℹ   [110/200] dsmart.com.tr (tr) - ShowTV.tr@SD - Apr 25, 2026 (11 programs)
ℹ   [111/200] dsmart.com.tr (tr) - Kanal7.tr@SD - Apr 24, 2026 (11 programs)
ℹ   [112/200] dsmart.com.tr (tr) - Kanal7.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [113/200] dsmart.com.tr (tr) - HaberturkTV.tr@SD - Apr 24, 2026 (15 programs)
ℹ   [114/200] dsmart.com.tr (tr) - HaberturkTV.tr@SD - Apr 25, 2026 (15 programs)
ℹ   [115/200] dsmart.com.tr (tr) - TVNET.tr@SD - Apr 24, 2026 (13 programs)
ℹ   [116/200] dsmart.com.tr (tr) - TVNET.tr@SD - Apr 25, 2026 (10 programs)
ℹ   [117/200] dsmart.com.tr (tr) - UlkeTV.tr@SD - Apr 24, 2026 (17 programs)
ℹ   [118/200] dsmart.com.tr (tr) - UlkeTV.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [119/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c606231 - Apr 24, 2026 (28 programs)
ℹ   [120/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c606231 - Apr 25, 2026 (0 programs)
ℹ   [121/200] dsmart.com.tr (tr) - 360.tr@SD - Apr 24, 2026 (16 programs)
ℹ   [122/200] dsmart.com.tr (tr) - 360.tr@SD - Apr 25, 2026 (18 programs)
ℹ   [123/200] dsmart.com.tr (tr) - DiscoveryChannel.tr@SD - Apr 24, 2026 (41 programs)
ℹ   [124/200] dsmart.com.tr (tr) - DiscoveryChannel.tr@SD - Apr 25, 2026 (37 programs)
ℹ   [125/200] dsmart.com.tr (tr) - TRTCocuk.tr@SD - Apr 24, 2026 (67 programs)
ℹ   [126/200] dsmart.com.tr (tr) - TRTCocuk.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [127/200] dsmart.com.tr (tr) - MinikaGo.tr@SD - Apr 24, 2026 (50 programs)
ℹ   [128/200] dsmart.com.tr (tr) - MinikaGo.tr@SD - Apr 25, 2026 (50 programs)
ℹ   [129/200] dsmart.com.tr (tr) - KanalD.tr@SD - Apr 24, 2026 (9 programs)
ℹ   [130/200] dsmart.com.tr (tr) - KanalD.tr@SD - Apr 25, 2026 (11 programs)
ℹ   [131/200] dsmart.com.tr (tr) - StarTV.tr@SD - Apr 24, 2026 (11 programs)
ℹ   [132/200] dsmart.com.tr (tr) - StarTV.tr@SD - Apr 25, 2026 (8 programs)
ℹ   [133/200] dsmart.com.tr (tr) - TRT2.tr@SD - Apr 24, 2026 (33 programs)
ℹ   [134/200] dsmart.com.tr (tr) - TRT2.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [135/200] dsmart.com.tr (tr) - TRTMuzik.tr@SD - Apr 24, 2026 (33 programs)
ℹ   [136/200] dsmart.com.tr (tr) - TRTMuzik.tr@SD - Apr 25, 2026 (0 programs)
