═══════════════════════════════════════════════════════════════
  Site            : osn.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 38s
  Channels        : 268
  With programmes : 267
  Empty channels  : 1
  Total programs  : 10059
  Output size     : 1720249 bytes
  Other errors    :
    1 Unexpected end of JSON input
  Last error      : Unexpected end of JSON input
  Generated       : 2026-04-24 11:35:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:35:04 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=osn.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 134 channel(s)
ℹ loading api data...
ℹ   [94/268] osn.com (ar) - History2MiddleEast.us@SD - Apr 25, 2026 (33 programs)
ℹ   [95/268] osn.com (ar) - MoonbugKids.uk@SD - Apr 24, 2026 (47 programs)
ℹ   [96/268] osn.com (ar) - MoonbugKids.uk@SD - Apr 25, 2026 (46 programs)
ℹ   [97/268] osn.com (ar) - MusicNow.ae@SD - Apr 24, 2026 (348 programs)
ℹ   [98/268] osn.com (ar) - MyxMiddleEast.ph@SD - Apr 24, 2026 (30 programs)
ℹ   [99/268] osn.com (ar) - NickelodeonArabia.ae@SD - Apr 24, 2026 (67 programs)
ℹ   [100/268] osn.com (ar) - NickelodeonArabia.ae@SD - Apr 25, 2026 (64 programs)
ℹ   [101/268] osn.com (ar) - NickJrArabia.ae@SD - Apr 25, 2026 (90 programs)
ℹ   [102/268] osn.com (ar) - MusicNow.ae@SD - Apr 25, 2026 (344 programs)
ℹ   [103/268] osn.com (ar) - NicktoonsArabia.ae@SD - Apr 24, 2026 (73 programs)
ℹ   [104/268] osn.com (ar) - MyxMiddleEast.ph@SD - Apr 25, 2026 (29 programs)
ℹ   [105/268] osn.com (ar) - NickJrArabia.ae@SD - Apr 24, 2026 (92 programs)
ℹ   [106/268] osn.com (ar) - NicktoonsArabia.ae@SD - Apr 25, 2026 (71 programs)
ℹ   [107/268] osn.com (ar) - OSNComedy.ae@SD - Apr 25, 2026 (67 programs)
ℹ   [108/268] osn.com (ar) - OSNKids.ae@SD - Apr 24, 2026 (109 programs)
ℹ   [109/268] osn.com (ar) - OSNKids.ae@SD - Apr 25, 2026 (124 programs)
ℹ   [110/268] osn.com (ar) - OSNComedy.ae@SD - Apr 24, 2026 (58 programs)
ℹ   [111/268] osn.com (ar) - OSNMezze.ae@SD - Apr 24, 2026 (28 programs)
ℹ   [112/268] osn.com (ar) - OSNMezze.ae@SD - Apr 25, 2026 (30 programs)
ℹ   [113/268] osn.com (ar) - OSNMoviesAction.ae@SD - Apr 24, 2026 (12 programs)
ℹ   [114/268] osn.com (ar) - OSNMoviesAction.ae@SD - Apr 25, 2026 (12 programs)
ℹ   [115/268] osn.com (ar) - OSNMoviesHollywood.ae@SD - Apr 24, 2026 (14 programs)
ℹ   [116/268] osn.com (ar) - OSNMoviesHollywood.ae@SD - Apr 25, 2026 (14 programs)
ℹ   [117/268] osn.com (ar) - OSNMoviesPremiere.ae@SD - Apr 24, 2026 (12 programs)
ℹ   [118/268] osn.com (ar) - OSNMoviesPremiere.ae@SD - Apr 25, 2026 (12 programs)
ℹ   [119/268] osn.com (ar) - OSNShowcase.ae@SD - Apr 25, 2026 (42 programs)
ℹ   [120/268] osn.com (ar) - OSNYahala.ae@SD - Apr 24, 2026 (33 programs)
ℹ   [121/268] osn.com (ar) - OSNYahalaAflam.ae@SD - Apr 24, 2026 (16 programs)
ℹ   [122/268] osn.com (ar) - OSNYahala.ae@SD - Apr 25, 2026 (32 programs)
ℹ   [123/268] osn.com (ar) - OSNYahalaAflam.ae@SD - Apr 25, 2026 (15 programs)
ℹ   [124/268] osn.com (ar) - OSNShowcase.ae@SD - Apr 24, 2026 (45 programs)
ℹ   [125/268] osn.com (ar) - OSNYahalaBilArabi.ae@SD - Apr 25, 2026 (31 programs)
ℹ   [126/268] osn.com (ar) - OSNYahalaBilArabi.ae@SD - Apr 24, 2026 (30 programs)
ℹ   [127/268] osn.com (ar) - PBARush.ph@HD - Apr 24, 2026 (23 programs)
ℹ   [128/268] osn.com (ar) - PBARush.ph@HD - Apr 25, 2026 (23 programs)
ℹ   [129/268] osn.com (ar) - TeleRadyoGlobal.ph@SD - Apr 24, 2026 (24 programs)
ℹ   [130/268] osn.com (ar) - TeleRadyoGlobal.ph@SD - Apr 25, 2026 (24 programs)
ℹ   [131/268] osn.com (ar) - TheFilipinoChannelMiddleEast.us@SD - Apr 25, 2026 (26 programs)
ℹ   [132/268] osn.com (en) - APL - Apr 24, 2026 (27 programs)
ℹ   [133/268] osn.com (en) - APL - Apr 25, 2026 (28 programs)
ℹ   [134/268] osn.com (ar) - TLCArabia.us@SD - Apr 24, 2026 (35 programs)
ℹ   [135/268] osn.com (ar) - TLCArabia.us@SD - Apr 25, 2026 (33 programs)
ℹ   [136/268] osn.com (en) - BAF - Apr 24, 2026 (54 programs)
ℹ   [137/268] osn.com (en) - BAF - Apr 25, 2026 (54 programs)
ℹ   [138/268] osn.com (en) - BLO - Apr 24, 2026 (27 programs)
ℹ   [139/268] osn.com (en) - BLO - Apr 25, 2026 (48 programs)
ℹ   [140/268] osn.com (ar) - TheFilipinoChannelMiddleEast.us@SD - Apr 24, 2026 (29 programs)
ℹ   [141/268] osn.com (en) - DOC - Apr 24, 2026 (21 programs)
ℹ   [142/268] osn.com (en) - DOC - Apr 25, 2026 (20 programs)
ℹ   [143/268] osn.com (en) - DWR - Apr 24, 2026 (24 programs)
ℹ   [144/268] osn.com (en) - DWR - Apr 25, 2026 (24 programs)
ℹ   [145/268] osn.com (en) - EC2 - Apr 24, 2026 (4 programs)
ℹ   [146/268] osn.com (en) - EC2 - Apr 25, 2026 (3 programs)
ℹ   [147/268] osn.com (en) - ECA - Apr 24, 2026 (4 programs)
ℹ   [148/268] osn.com (en) - ECA - Apr 25, 2026 (5 programs)
ℹ   [149/268] osn.com (en) - ECL - Apr 24, 2026 (4 programs)
ℹ   [150/268] osn.com (en) - ECL - Apr 25, 2026 (5 programs)
ℹ   [151/268] osn.com (en) - ELA - Apr 24, 2026 (6 programs)
ℹ   [152/268] osn.com (en) - ELA - Apr 25, 2026 (6 programs)
ℹ   [153/268] osn.com (en) - ES2 - Apr 24, 2026 (24 programs)
ℹ   [154/268] osn.com (en) - ES2 - Apr 25, 2026 (24 programs)
ℹ   [155/268] osn.com (en) - GMT - Apr 24, 2026 (24 programs)
ℹ   [156/268] osn.com (en) - GMT - Apr 25, 2026 (24 programs)
ℹ   [157/268] osn.com (en) - GNX - Apr 24, 2026 (24 programs)
ℹ   [158/268] osn.com (en) - GNX - Apr 25, 2026 (24 programs)
ℹ   [159/268] osn.com (en) - MCM - Apr 24, 2026 (24 programs)
ℹ   [160/268] osn.com (en) - MCM - Apr 25, 2026 (24 programs)
ℹ   [161/268] osn.com (en) - MOT - Apr 24, 2026 (42 programs)
ℹ   [162/268] osn.com (en) - MOT - Apr 25, 2026 (48 programs)
ℹ   [163/268] osn.com (en) - OBG - Apr 24, 2026 (29 programs)
ℹ   [164/268] osn.com (en) - OBG - Apr 25, 2026 (31 programs)
ℹ   [165/268] osn.com (en) - OCM - Apr 24, 2026 (14 programs)
