═══════════════════════════════════════════════════════════════
  Site            : tvireland.ie
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 64s
  Channels        : 668
  With programmes : 562
  Empty channels  : 106
  Total programs  : 16887
  Output size     : 4082955 bytes
  HTTP errors     :
    106 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:46:44
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:45:40 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvireland.ie --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 334 channel(s)
ℹ loading api data...
ℹ   [212/668] tvireland.ie (en) - CrimePlusInvestigation.uk@SD - Apr 25, 2026 (36 programs)
ℹ   [213/668] tvireland.ie (en) - 1318/sky-cinema-hits - Apr 24, 2026 (12 programs)
ℹ   [214/668] tvireland.ie (en) - 1318/sky-cinema-hits - Apr 25, 2026 (14 programs)
ℹ   [215/668] tvireland.ie (en) - SkyCinemaThriller.uk@SD - Apr 24, 2026 (11 programs)
ℹ   [216/668] tvireland.ie (en) - SkyCinemaThriller.uk@SD - Apr 25, 2026 (12 programs)
ℹ   [217/668] tvireland.ie (en) - SkyCinemaPremiere.uk@SD - Apr 24, 2026 (12 programs)
ℹ   [218/668] tvireland.ie (en) - SkyCinemaPremiere.uk@SD - Apr 25, 2026 (12 programs)
ℹ   [219/668] tvireland.ie (en) - SkyCinemaPremiere.uk@Plus1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [220/668] tvireland.ie (en) - SkyCinemaPremiere.uk@Plus1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [221/668] tvireland.ie (en) - SkyCinemaComedy.uk@SD - Apr 24, 2026 (14 programs)
ℹ   [222/668] tvireland.ie (en) - SkyCinemaComedy.uk@SD - Apr 25, 2026 (13 programs)
ℹ   [223/668] tvireland.ie (en) - SkyCinemaFamily.uk@SD - Apr 24, 2026 (12 programs)
ℹ   [224/668] tvireland.ie (en) - SkyCinemaFamily.uk@SD - Apr 25, 2026 (13 programs)
ℹ   [225/668] tvireland.ie (en) - SkyCinemaDrama.uk@SD - Apr 24, 2026 (11 programs)
ℹ   [226/668] tvireland.ie (en) - SkyCinemaDrama.uk@SD - Apr 25, 2026 (12 programs)
ℹ   [227/668] tvireland.ie (en) - SkyCinemaGreats.uk@SD - Apr 24, 2026 (13 programs)
