═══════════════════════════════════════════════════════════════
  Site            : programme-tv.net
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 324s
  Channels        : 2123
  With programmes : 1823
  Empty channels  : 300
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    300 status code 503
  Last error      : Request failed with status code 503
  Generated       : 2026-04-24 11:48:16
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:42:52 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=programme-tv.net --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 299 channel(s)
ℹ loading api data...
ℹ   [82/598] programme-tv.net (fr) - cstar-hits-france-489 - Apr 25, 2026 (5 programs)
ℹ   [83/598] programme-tv.net (fr) - demain-tv-53 - Apr 24, 2026 (87 programs)
ℹ   [84/598] programme-tv.net (fr) - demain-tv-53 - Apr 25, 2026 (99 programs)
ℹ   [85/598] programme-tv.net (fr) - discovery-investigation-488 - Apr 25, 2026 (32 programs)
ℹ   [86/598] programme-tv.net (fr) - discovery-investigation-488 - Apr 24, 2026 (30 programs)
ℹ   [87/598] programme-tv.net (fr) - disney-channel-plus1-3510 - Apr 25, 2026 (70 programs)
ℹ   [88/598] programme-tv.net (fr) - disneyplus-3504 - Apr 24, 2026 (7 programs)
ℹ   [89/598] programme-tv.net (fr) - disney-channel-plus1-3510 - Apr 24, 2026 (76 programs)
ℹ   [90/598] programme-tv.net (fr) - disney-channel-wallonia-271 - Apr 25, 2026 (62 programs)
ℹ   [91/598] programme-tv.net (fr) - disney-channel-wallonia-271 - Apr 24, 2026 (62 programs)
ℹ   [92/598] programme-tv.net (fr) - disneyplus-3504 - Apr 25, 2026 (7 programs)
ℹ   [93/598] programme-tv.net (fr) - dorcel-tv-11524 - Apr 25, 2026 (18 programs)
ℹ   [94/598] programme-tv.net (fr) - dorcel-xxx-11525 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [95/598] programme-tv.net (fr) - dorcel-tv-11524 - Apr 24, 2026 (22 programs)
ℹ   [96/598] programme-tv.net (fr) - een-264 - Apr 24, 2026 (50 programs)
ℹ   [97/598] programme-tv.net (fr) - dorcel-xxx-11525 - Apr 25, 2026 (18 programs)
ℹ   [98/598] programme-tv.net (fr) - een-264 - Apr 25, 2026 (44 programs)
ℹ   [99/598] programme-tv.net (fr) - franceinfo-307 - Apr 25, 2026 (21 programs)
ℹ   [100/598] programme-tv.net (fr) - franceinfo-307 - Apr 24, 2026 (20 programs)
ℹ   [101/598] programme-tv.net (fr) - gong-355 - Apr 25, 2026 (34 programs)
ℹ   [102/598] programme-tv.net (fr) - gong-355 - Apr 24, 2026 (43 programs)
ℹ   [103/598] programme-tv.net (fr) - gong-max-350 - Apr 25, 2026 (29 programs)
ℹ   [104/598] programme-tv.net (fr) - hr-fernsehen-4501 - Apr 25, 2026 (34 programs)
ℹ   [105/598] programme-tv.net (fr) - gong-max-350 - Apr 24, 2026 (29 programs)
ℹ   [106/598] programme-tv.net (fr) - hr-fernsehen-4501 - Apr 24, 2026 (39 programs)
ℹ   [107/598] programme-tv.net (fr) - kika-3501 - Apr 25, 2026 (35 programs)
ℹ   [108/598] programme-tv.net (fr) - kika-3501 - Apr 24, 2026 (42 programs)
ℹ   [109/598] programme-tv.net (fr) - la-chaine-normande-6509 - Apr 25, 2026 (5 programs)
ℹ   [110/598] programme-tv.net (fr) - la-chaine-normande-6509 - Apr 24, 2026 (6 programs)
ℹ   [111/598] programme-tv.net (fr) - la-trois-175 - Apr 25, 2026 (70 programs)
ℹ   [112/598] programme-tv.net (fr) - la-trois-175 - Apr 24, 2026 (50 programs)
ℹ   [113/598] programme-tv.net (fr) - lm-tv-sarthe-376 - Apr 25, 2026 (95 programs)
ℹ   [114/598] programme-tv.net (fr) - lm-tv-sarthe-376 - Apr 24, 2026 (102 programs)
ℹ   [115/598] programme-tv.net (fr) - lucky-jack-473 - Apr 24, 2026 (34 programs)
