═══════════════════════════════════════════════════════════════
  Site            : mncvision.id
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 12046s
  Channels        : 4074
  With programmes : 3791
  Empty channels  : 283
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    237 status code 500
  Generated       : 2026-04-24 14:33:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:12:56 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mncvision.id --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 276 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [71/552] mncvision.id (en) - SCTV.id@SD - Apr 24, 2026 (18 programs)
ℹ   [72/552] mncvision.id (en) - SCTV.id@SD - Apr 25, 2026 (17 programs)
ℹ   [73/552] mncvision.id (en) - 90 - Apr 25, 2026 (25 programs)
ℹ   [74/552] mncvision.id (en) - 90 - Apr 24, 2026 (26 programs)
ℹ   [75/552] mncvision.id (en) - MuslimTV.id@SD - Apr 24, 2026 (22 programs)
ℹ   [76/552] mncvision.id (en) - Life.id@SD - Apr 24, 2026 (34 programs)
ℹ   [77/552] mncvision.id (en) - Life.id@SD - Apr 25, 2026 (34 programs)
ℹ   [78/552] mncvision.id (en) - MuslimTV.id@SD - Apr 25, 2026 (21 programs)
ℹ   [79/552] mncvision.id (en) - QuranTV.sa@SD - Apr 24, 2026 (12 programs)
ℹ   [80/552] mncvision.id (en) - QuranTV.sa@SD - Apr 25, 2026 (12 programs)
ℹ   [81/552] mncvision.id (en) - VisionPrime.id@SD - Apr 25, 2026 (22 programs)
ℹ   [82/552] mncvision.id (en) - VisionPrime.id@SD - Apr 24, 2026 (26 programs)
ℹ   [83/552] mncvision.id (en) - OKTV.id@SD - Apr 24, 2026 (36 programs)
ℹ   [84/552] mncvision.id (en) - OKTV.id@SD - Apr 25, 2026 (32 programs)
ℹ   [85/552] mncvision.id (en) - tvOne.id@SD - Apr 24, 2026 (24 programs)
ℹ   [86/552] mncvision.id (en) - CelebritiesTV.id@SD - Apr 24, 2026 (32 programs)
ℹ   [87/552] mncvision.id (en) - CelebritiesTV.id@SD - Apr 25, 2026 (28 programs)
ℹ   [88/552] mncvision.id (en) - tvOne.id@SD - Apr 25, 2026 (22 programs)
ℹ   [89/552] mncvision.id (en) - Sportstars2.id@SD - Apr 24, 2026 (15 programs)
ℹ   [90/552] mncvision.id (en) - Sportstars2.id@SD - Apr 25, 2026 (16 programs)
ℹ   [91/552] mncvision.id (en) - Sportstars3.id@SD - Apr 24, 2026 (12 programs)
ℹ   [92/552] mncvision.id (en) - Sportstars3.id@SD - Apr 25, 2026 (15 programs)
ℹ   [93/552] mncvision.id (en) - IDXChannel.id@SD - Apr 24, 2026 (30 programs)
ℹ   [94/552] mncvision.id (en) - SoccerChannel.id@SD - Apr 24, 2026 (19 programs)
ℹ   [95/552] mncvision.id (en) - SoccerChannel.id@SD - Apr 25, 2026 (17 programs)
ℹ   [96/552] mncvision.id (en) - IDXChannel.id@SD - Apr 25, 2026 (30 programs)
ℹ   [97/552] mncvision.id (en) - Sportstars.id@SD - Apr 24, 2026 (20 programs)
ℹ   [98/552] mncvision.id (en) - Sportstars.id@SD - Apr 25, 2026 (20 programs)
ℹ   [99/552] mncvision.id (en) - BTV.id@SD - Apr 24, 2026 (34 programs)
ℹ   [100/552] mncvision.id (en) - BTV.id@SD - Apr 25, 2026 (32 programs)
ℹ   [101/552] mncvision.id (en) - TawafTV.id@SD - Apr 24, 2026 (43 programs)
ℹ   [102/552] mncvision.id (en) - KompasTV.id@SD - Apr 24, 2026 (22 programs)
ℹ   [103/552] mncvision.id (en) - TawafTV.id@SD - Apr 25, 2026 (43 programs)
ℹ   [104/552] mncvision.id (en) - KompasTV.id@SD - Apr 25, 2026 (25 programs)
ℹ   [105/552] mncvision.id (en) - MetroTV.id@SD - Apr 24, 2026 (50 programs)
ℹ   [106/552] mncvision.id (en) - MetroTV.id@SD - Apr 25, 2026 (50 programs)
ℹ   [107/552] mncvision.id (en) - Trans7.id@SD - Apr 24, 2026 (28 programs)
ℹ   [108/552] mncvision.id (en) - MusicTV.id@SD - Apr 24, 2026 (20 programs)
ℹ   [109/552] mncvision.id (en) - Trans7.id@SD - Apr 25, 2026 (29 programs)
ℹ   [110/552] mncvision.id (en) - JakTV.id@SD - Apr 24, 2026 (29 programs)
ℹ   [111/552] mncvision.id (en) - MusicTV.id@SD - Apr 25, 2026 (17 programs)
ℹ   [112/552] mncvision.id (en) - ANTV.id@SD - Apr 24, 2026 (13 programs)
ℹ   [113/552] mncvision.id (en) - JakTV.id@SD - Apr 25, 2026 (29 programs)
ℹ   [114/552] mncvision.id (en) - ANTV.id@SD - Apr 25, 2026 (11 programs)
ℹ   [115/552] mncvision.id (en) - NET.id@SD - Apr 24, 2026 (21 programs)
ℹ   [116/552] mncvision.id (en) - MTVLive.uk@SD - Apr 24, 2026 (0 programs)
ℹ   [117/552] mncvision.id (en) - NET.id@SD - Apr 25, 2026 (23 programs)
ℹ   [118/552] mncvision.id (en) - 118 - Apr 24, 2026 (12 programs)
ℹ   [119/552] mncvision.id (en) - 118 - Apr 25, 2026 (12 programs)
ℹ   [120/552] mncvision.id (en) - MTVLive.uk@SD - Apr 25, 2026 (0 programs)
ℹ   [121/552] mncvision.id (en) - MTV90s.uk@SD - Apr 24, 2026 (0 programs)
ℹ   [122/552] mncvision.id (en) - MTV90s.uk@SD - Apr 25, 2026 (0 programs)
ℹ   [123/552] mncvision.id (en) - FMN.id@SD - Apr 24, 2026 (0 programs)
ℹ   [124/552] mncvision.id (en) - FMN.id@SD - Apr 25, 2026 (0 programs)
ℹ   [125/552] mncvision.id (en) - AXNAsia.sg@Indonesia - Apr 25, 2026 (24 programs)
ℹ   [126/552] mncvision.id (en) - AXNAsia.sg@Indonesia - Apr 24, 2026 (26 programs)
ℹ   [127/552] mncvision.id (en) - tvNAsia.hk@SD - Apr 24, 2026 (18 programs)
ℹ   [128/552] mncvision.id (en) - AnimaxAsia.sg@SD - Apr 24, 2026 (48 programs)
ℹ   [129/552] mncvision.id (en) - AnimaxAsia.sg@SD - Apr 25, 2026 (44 programs)
ℹ   [130/552] mncvision.id (en) - tvNAsia.hk@SD - Apr 25, 2026 (20 programs)
ℹ   [131/552] mncvision.id (en) - HITS.sg@SD - Apr 24, 2026 (29 programs)
ℹ   [132/552] mncvision.id (en) - KIX.hk@SD - Apr 24, 2026 (19 programs)
ℹ   [133/552] mncvision.id (en) - HITS.sg@SD - Apr 25, 2026 (27 programs)
ℹ   [134/552] mncvision.id (en) - KIX.hk@SD - Apr 25, 2026 (17 programs)
ℹ   [135/552] mncvision.id (en) - ONE.sg@SD - Apr 24, 2026 (19 programs)
ℹ   [136/552] mncvision.id (en) - ONE.sg@SD - Apr 25, 2026 (16 programs)
ℹ   [137/552] mncvision.id (en) - LifetimeAsia.us@SD - Apr 24, 2026 (27 programs)
ℹ   [138/552] mncvision.id (en) - BBCEarth.uk@Asia - Apr 25, 2026 (25 programs)
ℹ   [139/552] mncvision.id (en) - LifetimeAsia.us@SD - Apr 25, 2026 (27 programs)
ℹ   [140/552] mncvision.id (en) - BBCEarth.uk@Asia - Apr 24, 2026 (31 programs)
ℹ   [141/552] mncvision.id (en) - GlobalTrekker.sg@SD - Apr 24, 2026 (33 programs)
ℹ   [142/552] mncvision.id (en) - GlobalTrekker.sg@SD - Apr 25, 2026 (35 programs)
ℹ   [143/552] mncvision.id (en) - OutdoorChannel.us@SD - Apr 24, 2026 (35 programs)
ℹ   [144/552] mncvision.id (en) - OutdoorChannel.us@SD - Apr 25, 2026 (35 programs)
ℹ   [145/552] mncvision.id (en) - LoveNature.ca@SD - Apr 24, 2026 (27 programs)
ℹ   [146/552] mncvision.id (en) - LoveNature.ca@SD - Apr 25, 2026 (27 programs)
ℹ   [147/552] mncvision.id (en) - CGTNDocumentary.cn@SD - Apr 24, 2026 (36 programs)
ℹ   [148/552] mncvision.id (en) - HistoryAsia.us@SD - Apr 24, 2026 (26 programs)
ℹ   [149/552] mncvision.id (en) - CGTNDocumentary.cn@SD - Apr 25, 2026 (36 programs)
ℹ   [150/552] mncvision.id (en) - HistoryAsia.us@SD - Apr 25, 2026 (26 programs)
ℹ   [151/552] mncvision.id (en) - CrimePlusInvestigationAsia.sg@SD - Apr 24, 2026 (28 programs)
ℹ   [152/552] mncvision.id (en) - ROCKEntertainment.sg@SD - Apr 25, 2026 (16 programs)
ℹ   [153/552] mncvision.id (en) - ROCKExtreme.sg@SD - Apr 24, 2026 (15 programs)
ℹ   [154/552] mncvision.id (en) - CrimePlusInvestigationAsia.sg@SD - Apr 25, 2026 (29 programs)
ℹ   [155/552] mncvision.id (en) - ROCKEntertainment.sg@SD - Apr 24, 2026 (27 programs)
ℹ   [156/552] mncvision.id (en) - ROCKExtreme.sg@SD - Apr 25, 2026 (15 programs)
ℹ   [157/552] mncvision.id (en) - SPOTV.kr@SD - Apr 24, 2026 (13 programs)
ℹ   [158/552] mncvision.id (en) - FightSports.us@SD - Apr 24, 2026 (29 programs)
ℹ   [159/552] mncvision.id (en) - SPOTV.kr@SD - Apr 25, 2026 (14 programs)
ℹ   [160/552] mncvision.id (en) - FightSports.us@SD - Apr 25, 2026 (31 programs)
ℹ   [161/552] mncvision.id (en) - SPOTV2.kr@SD - Apr 24, 2026 (15 programs)
ℹ   [162/552] mncvision.id (en) - SPOTV2.kr@SD - Apr 25, 2026 (16 programs)
ℹ   [163/552] mncvision.id (en) - beINSports1.qa@Indonesia - Apr 25, 2026 (21 programs)
ℹ   [164/552] mncvision.id (en) - 310 - Apr 24, 2026 (22 programs)
ℹ   [165/552] mncvision.id (en) - 310 - Apr 25, 2026 (25 programs)
ℹ   [166/552] mncvision.id (en) - beINSports3.qa@Indonesia - Apr 24, 2026 (20 programs)
ℹ   [167/552] mncvision.id (en) - beINSports3.qa@Indonesia - Apr 25, 2026 (25 programs)
ℹ   [168/552] mncvision.id (en) - 312 - Apr 24, 2026 (11 programs)
ℹ   [169/552] mncvision.id (en) - 312 - Apr 25, 2026 (12 programs)
ℹ   [170/552] mncvision.id (en) - 313 - Apr 24, 2026 (11 programs)
ℹ   [171/552] mncvision.id (en) - 313 - Apr 25, 2026 (12 programs)
ℹ   [172/552] mncvision.id (en) - CNAInternational.sg@SD - Apr 24, 2026 (24 programs)
Unable to fetch https://www.mncvision.id/schedule/detail/20260424234000309/LaLiga-Goals-Galore-202425/1: timeout of 30000ms exceeded!
ℹ   [173/552] mncvision.id (en) - beINSports1.qa@Indonesia - Apr 24, 2026 (21 programs)
ℹ   [174/552] mncvision.id (en) - CNAInternational.sg@SD - Apr 25, 2026 (43 programs)
ℹ   [175/552] mncvision.id (en) - AlJazeera.qa@English - Apr 24, 2026 (33 programs)
ℹ   [176/552] mncvision.id (en) - AlJazeera.qa@English - Apr 25, 2026 (35 programs)
ℹ   [177/552] mncvision.id (en) - BBCNews.uk@AsiaPacific - Apr 24, 2026 (50 programs)
ℹ   [178/552] mncvision.id (en) - BBCNews.uk@AsiaPacific - Apr 25, 2026 (46 programs)
ℹ   [179/552] mncvision.id (en) - EuronewsEnglish.fr@SD - Apr 24, 2026 (50 programs)
ℹ   [180/552] mncvision.id (en) - FoxNewsChannel.us@SD - Apr 24, 2026 (24 programs)
ℹ   [181/552] mncvision.id (en) - SEAToday.id@SD - Apr 24, 2026 (0 programs)
ℹ   [182/552] mncvision.id (en) - EuronewsEnglish.fr@SD - Apr 25, 2026 (50 programs)
ℹ   [183/552] mncvision.id (en) - FoxNewsChannel.us@SD - Apr 25, 2026 (24 programs)
ℹ   [184/552] mncvision.id (en) - SEAToday.id@SD - Apr 25, 2026 (0 programs)
ℹ   [185/552] mncvision.id (en) - CNBCAsia.sg@SD - Apr 24, 2026 (17 programs)
ℹ   [186/552] mncvision.id (en) - BloombergTV.us@Asia - Apr 24, 2026 (18 programs)
ℹ   [187/552] mncvision.id (en) - ABCAustralia.au@SD - Apr 24, 2026 (25 programs)
ℹ   [188/552] mncvision.id (en) - CNBCAsia.sg@SD - Apr 25, 2026 (27 programs)
ℹ   [189/552] mncvision.id (en) - BloombergTV.us@Asia - Apr 25, 2026 (31 programs)
ℹ   [190/552] mncvision.id (en) - ABCAustralia.au@SD - Apr 25, 2026 (26 programs)
ℹ   [191/552] mncvision.id (en) - ArirangWorld.kr@SD - Apr 24, 2026 (50 programs)
ℹ   [192/552] mncvision.id (en) - ArirangWorld.kr@SD - Apr 25, 2026 (50 programs)
ℹ   [193/552] mncvision.id (en) - France24.fr@English - Apr 24, 2026 (50 programs)
ℹ   [194/552] mncvision.id (en) - France24.fr@English - Apr 25, 2026 (50 programs)
ℹ   [195/552] mncvision.id (en) - CGTN.cn@SD - Apr 24, 2026 (45 programs)
ℹ   [196/552] mncvision.id (en) - CGTN.cn@SD - Apr 25, 2026 (43 programs)
ℹ   [197/552] mncvision.id (en) - NHKWorldPremium.jp@SD - Apr 24, 2026 (50 programs)
ℹ   [198/552] mncvision.id (en) - NHKWorldPremium.jp@SD - Apr 25, 2026 (50 programs)
ℹ   [199/552] mncvision.id (en) - NHKWorldJapan.jp@SD - Apr 24, 2026 (50 programs)
ℹ   [200/552] mncvision.id (en) - NHKWorldJapan.jp@SD - Apr 25, 2026 (50 programs)
ℹ   [201/552] mncvision.id (en) - Cinemachi.uk@HD - Apr 24, 2026 (12 programs)
ℹ   [202/552] mncvision.id (en) - DW.de@English - Apr 24, 2026 (50 programs)
ℹ   [203/552] mncvision.id (en) - DW.de@English - Apr 25, 2026 (50 programs)
ℹ   [204/552] mncvision.id (en) - Cinemachi.uk@HD - Apr 25, 2026 (12 programs)
ℹ   [205/552] mncvision.id (en) - CinemachiAction.uk@HD - Apr 24, 2026 (14 programs)
ℹ   [206/552] mncvision.id (en) - CinemachiAction.uk@HD - Apr 25, 2026 (13 programs)
ℹ   [207/552] mncvision.id (en) - CinemachiKids.uk@HD - Apr 24, 2026 (13 programs)
ℹ   [208/552] mncvision.id (en) - CinemachiKids.uk@HD - Apr 25, 2026 (14 programs)
ℹ   [209/552] mncvision.id (en) - CinemachiMax.uk@HD - Apr 24, 2026 (35 programs)
ℹ   [210/552] mncvision.id (en) - CinemachiXtra.uk@HD - Apr 24, 2026 (14 programs)
ℹ   [211/552] mncvision.id (en) - CinemachiXtra.uk@HD - Apr 25, 2026 (14 programs)
ℹ   [212/552] mncvision.id (en) - CinemachiMax.uk@HD - Apr 25, 2026 (32 programs)
ℹ   [213/552] mncvision.id (en) - HITSMovies.sg@HD - Apr 24, 2026 (11 programs)
ℹ   [214/552] mncvision.id (en) - HITSMovies.sg@HD - Apr 25, 2026 (12 programs)
ℹ   [215/552] mncvision.id (en) - tvNMoviesAsia.hk@HD - Apr 24, 2026 (13 programs)
ℹ   [216/552] mncvision.id (en) - tvNMoviesAsia.hk@HD - Apr 25, 2026 (13 programs)
ℹ   [217/552] mncvision.id (en) - 417 - Apr 24, 2026 (21 programs)
ℹ   [218/552] mncvision.id (en) - 417 - Apr 25, 2026 (21 programs)
ℹ   [219/552] mncvision.id (en) - 418 - Apr 24, 2026 (22 programs)
ℹ   [220/552] mncvision.id (en) - 418 - Apr 25, 2026 (25 programs)
ℹ   [221/552] mncvision.id (en) - 419 - Apr 24, 2026 (20 programs)
ℹ   [222/552] mncvision.id (en) - 419 - Apr 25, 2026 (25 programs)
