═══════════════════════════════════════════════════════════════
  Site            : tvpassport.com
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 991s
  Channels        : 5806
  With programmes : 5788
  Empty channels  : 18
  Total programs  : 0
  Output size     : 0 bytes
  Generated       : 2026-04-24 13:11:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:54:47 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvpassport.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 19287 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [63/38574] tvpassport.com (en) - 3abn-latino-k23cu-dt2-bend-or/17782 - Apr 25, 2026 (35 programs)
ℹ   [64/38574] tvpassport.com (en) - 3abn-latino-k23ju-d3-prosser-wa/34711 - Apr 25, 2026 (35 programs)
ℹ   [65/38574] tvpassport.com (en) - 3abn-latino-k25fp-d4-ellensburg-wa/34712 - Apr 25, 2026 (35 programs)
ℹ   [66/38574] tvpassport.com (en) - 3abn-latino-k27lu-d3-stephenville-tx/16595 - Apr 25, 2026 (35 programs)
ℹ   [67/38574] tvpassport.com (en) - 3abn-latino-k25fp-d4-ellensburg-wa/34712 - Apr 24, 2026 (35 programs)
ℹ   [68/38574] tvpassport.com (en) - 3abn-latino-k27lu-d3-stephenville-tx/16595 - Apr 24, 2026 (35 programs)
ℹ   [69/38574] tvpassport.com (en) - 3abn-latino-k31nf-d2-verde-valley-etc-az/35565 - Apr 24, 2026 (21 programs)
ℹ   [70/38574] tvpassport.com (en) - 3abn-latino-k31nf-d2-verde-valley-etc-az/35565 - Apr 25, 2026 (21 programs)
ℹ   [71/38574] tvpassport.com (en) - 3abn-latino-k32lo-d2-prescott-az/35586 - Apr 25, 2026 (21 programs)
ℹ   [72/38574] tvpassport.com (en) - 3abn-latino-k32lo-d2-prescott-az/35586 - Apr 24, 2026 (21 programs)
ℹ   [73/38574] tvpassport.com (en) - 3abn-latino-k36ku-d4-twin-falls-id/36881 - Apr 24, 2026 (35 programs)
ℹ   [74/38574] tvpassport.com (en) - 3abn-latino-k36ku-d4-twin-falls-id/36881 - Apr 25, 2026 (35 programs)
ℹ   [75/38574] tvpassport.com (en) - 3abn-latino-k43fo-dt4-las-vegas-nv/15600 - Apr 24, 2026 (35 programs)
ℹ   [76/38574] tvpassport.com (en) - 3abn-latino-k43fo-dt4-las-vegas-nv/15600 - Apr 25, 2026 (35 programs)
ℹ   [77/38574] tvpassport.com (en) - 3abn-latino-k44gh-d4-alexandria-mn/34422 - Apr 25, 2026 (7 programs)
ℹ   [78/38574] tvpassport.com (en) - 3abn-latino-k44gh-d4-alexandria-mn/34422 - Apr 24, 2026 (7 programs)
ℹ   [79/38574] tvpassport.com (en) - 3abn-latino-k47nt-d3-mineral-wells-tx/16596 - Apr 24, 2026 (35 programs)
ℹ   [80/38574] tvpassport.com (en) - 3abn-latino-kamk-ld4-eugene-or/37316 - Apr 24, 2026 (35 programs)
ℹ   [81/38574] tvpassport.com (en) - 3abn-latino-k47nt-d3-mineral-wells-tx/16596 - Apr 25, 2026 (35 programs)
ℹ   [82/38574] tvpassport.com (en) - 3abn-latino-kamk-ld4-eugene-or/37316 - Apr 25, 2026 (35 programs)
ℹ   [83/38574] tvpassport.com (en) - 3abn-latino-kbop-dt3-dallas-tx/15273 - Apr 24, 2026 (32 programs)
ℹ   [84/38574] tvpassport.com (en) - 3abn-latino-kcyh-dt4-sherman-tx/17783 - Apr 24, 2026 (35 programs)
ℹ   [85/38574] tvpassport.com (en) - 3abn-latino-kcyh-dt4-sherman-tx/17783 - Apr 25, 2026 (35 programs)
ℹ   [86/38574] tvpassport.com (en) - 3abn-latino-kbop-dt3-dallas-tx/15273 - Apr 25, 2026 (32 programs)
ℹ   [87/38574] tvpassport.com (en) - 3abn-latino-klfb-ld2-salinas-ca/31053 - Apr 25, 2026 (35 programs)
ℹ   [88/38574] tvpassport.com (en) - 3abn-latino-klfb-ld2-salinas-ca/31053 - Apr 24, 2026 (35 programs)
ℹ   [89/38574] tvpassport.com (en) - 3abn-latino-kmbb-dt5-north-platte-ne/17784 - Apr 24, 2026 (35 programs)
ℹ   [90/38574] tvpassport.com (en) - 3abn-latino-kmma-cd1-san-luis-obipso-ca/20294 - Apr 24, 2026 (35 programs)
ℹ   [91/38574] tvpassport.com (en) - 3abn-latino-kmbb-dt5-north-platte-ne/17784 - Apr 25, 2026 (35 programs)
ℹ   [92/38574] tvpassport.com (en) - 3abn-latino-kqmm-cd-santa-maria-ca/25490 - Apr 24, 2026 (21 programs)
ℹ   [93/38574] tvpassport.com (en) - 3abn-latino-kqmm-cd-santa-maria-ca/25490 - Apr 25, 2026 (21 programs)
ℹ   [94/38574] tvpassport.com (en) - 3abn-latino-kmma-cd1-san-luis-obipso-ca/20294 - Apr 25, 2026 (35 programs)
ℹ   [95/38574] tvpassport.com (en) - 3abn-latino-kucl-ld2-salt-lake-city-ut/15315 - Apr 24, 2026 (41 programs)
ℹ   [96/38574] tvpassport.com (en) - 3abn-latino-kucl-ld2-salt-lake-city-ut/15315 - Apr 25, 2026 (41 programs)
ℹ   [97/38574] tvpassport.com (en) - 3abn-latino-kudf-dt3-tucson-az/34260 - Apr 24, 2026 (21 programs)
ℹ   [98/38574] tvpassport.com (en) - 3abn-latino-kudf-dt3-tucson-az/34260 - Apr 25, 2026 (21 programs)
ℹ   [99/38574] tvpassport.com (en) - 3abn-latino-kuot-dt5-oklahoma-city-ok/17785 - Apr 24, 2026 (31 programs)
ℹ   [100/38574] tvpassport.com (en) - 3abn-latino-kvvv-ld4-houston-tx/16695 - Apr 24, 2026 (12 programs)
ℹ   [101/38574] tvpassport.com (en) - 3abn-latino-kuot-dt5-oklahoma-city-ok/17785 - Apr 25, 2026 (31 programs)
