═══════════════════════════════════════════════════════════════
  Site            : tv24.co.uk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 197s
  Channels        : 2144
  With programmes : 1204
  Empty channels  : 940
  Total programs  : 35238
  Output size     : 10998048 bytes
  Generated       : 2026-04-24 12:28:33
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:25:16 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv24.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1072 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [76/2144] tv24.co.uk (en) - animal-planet - Apr 25, 2026 (28 programs)
ℹ   [77/2144] tv24.co.uk (en) - animal-planet-1 - Apr 25, 2026 (28 programs)
ℹ   [78/2144] tv24.co.uk (en) - animal-planet-1 - Apr 24, 2026 (27 programs)
ℹ   [79/2144] tv24.co.uk (en) - animal-planet-1-1 - Apr 25, 2026 (0 programs)
ℹ   [80/2144] tv24.co.uk (en) - animal-planet-1-1 - Apr 24, 2026 (0 programs)
ℹ   [81/2144] tv24.co.uk (en) - animal-planet-hd - Apr 24, 2026 (27 programs)
ℹ   [82/2144] tv24.co.uk (en) - anixe - Apr 24, 2026 (5 programs)
ℹ   [83/2144] tv24.co.uk (en) - animal-planet-hd - Apr 25, 2026 (28 programs)
ℹ   [84/2144] tv24.co.uk (en) - anixe - Apr 25, 2026 (5 programs)
ℹ   [85/2144] tv24.co.uk (en) - anixe-hd - Apr 24, 2026 (0 programs)
ℹ   [86/2144] tv24.co.uk (en) - anixe-hd - Apr 25, 2026 (0 programs)
ℹ   [87/2144] tv24.co.uk (en) - aragon-tv - Apr 24, 2026 (27 programs)
ℹ   [88/2144] tv24.co.uk (en) - arang-arirang-tv-korea-world-network - Apr 24, 2026 (0 programs)
ℹ   [89/2144] tv24.co.uk (en) - aragon-tv - Apr 25, 2026 (25 programs)
ℹ   [90/2144] tv24.co.uk (en) - arang-arirang-tv-korea-world-network - Apr 25, 2026 (0 programs)
ℹ   [91/2144] tv24.co.uk (en) - ard-alpha - Apr 24, 2026 (44 programs)
ℹ   [92/2144] tv24.co.uk (en) - ard-alpha - Apr 25, 2026 (42 programs)
ℹ   [93/2144] tv24.co.uk (en) - arirang-tv-hd - Apr 24, 2026 (56 programs)
ℹ   [94/2144] tv24.co.uk (en) - ard-alpha-hd - Apr 24, 2026 (44 programs)
ℹ   [95/2144] tv24.co.uk (en) - ard-alpha-hd - Apr 25, 2026 (42 programs)
ℹ   [96/2144] tv24.co.uk (en) - arirang-tv-hd - Apr 25, 2026 (50 programs)
ℹ   [97/2144] tv24.co.uk (en) - AriseNews.uk@SD - Apr 25, 2026 (29 programs)
