═══════════════════════════════════════════════════════════════
  Site            : vidio.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 26s
  Channels        : 114
  With programmes : 92
  Empty channels  : 22
  Total programs  : 3106
  Output size     : 1436508 bytes
  HTTP errors     :
    6 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 13:01:01
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:00:35 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=vidio.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 57 channel(s)
ℹ loading api data...
ℹ   [84/114] vidio.com (id) - ChampionsTV6.id@SD - Apr 25, 2026 (17 programs)
ℹ   [85/114] vidio.com (id) - ChampionsTVEPL.id@SD - Apr 24, 2026 (39 programs)
ℹ   [86/114] vidio.com (id) - JTV.id@SD - Apr 24, 2026 (38 programs)
ℹ   [87/114] vidio.com (id) - JTV.id@SD - Apr 25, 2026 (40 programs)
ℹ   [88/114] vidio.com (id) - JPMTV.id@SD - Apr 24, 2026 (37 programs)
ℹ   [89/114] vidio.com (id) - JPMTV.id@SD - Apr 25, 2026 (37 programs)
ℹ   [90/114] vidio.com (id) - ChampionsTVEPL.id@SD - Apr 25, 2026 (27 programs)
ℹ   [91/114] vidio.com (id) - ElshintaTV.id@SD - Apr 25, 2026 (0 programs)
ℹ   [92/114] vidio.com (id) - TawafTV.id@SD - Apr 24, 2026 (0 programs)
ℹ   [93/114] vidio.com (id) - ElshintaTV.id@SD - Apr 24, 2026 (0 programs)
ℹ   [94/114] vidio.com (id) - TawafTV.id@SD - Apr 25, 2026 (0 programs)
ℹ   [95/114] vidio.com (id) - AfricanewsEnglish.fr@SD - Apr 24, 2026 (148 programs)
ℹ   [96/114] vidio.com (id) - SPOTV.id@SD - Apr 24, 2026 (14 programs)
ℹ   [97/114] vidio.com (id) - AfricanewsEnglish.fr@SD - Apr 25, 2026 (164 programs)
ℹ   [98/114] vidio.com (id) - SPOTV.id@SD - Apr 25, 2026 (15 programs)
ℹ   [99/114] vidio.com (id) - SPOTV2.id@SD - Apr 25, 2026 (20 programs)
ℹ   [100/114] vidio.com (id) - SPOTV2.id@SD - Apr 24, 2026 (18 programs)
ℹ   [101/114] vidio.com (id) - TV5MondeAsia.fr@SD - Apr 24, 2026 (48 programs)
ℹ   [102/114] vidio.com (id) - TV5MondeAsia.fr@SD - Apr 25, 2026 (52 programs)
