═══════════════════════════════════════════════════════════════
  Site            : mytelly.co.uk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 86s
  Channels        : 976
  With programmes : 111
  Empty channels  : 865
  Total programs  : 3059
  Output size     : 695478 bytes
  HTTP errors     :
    857 status code 405
    8 status code 404
  Last error      : Request failed with status code 405
  Generated       : 2026-04-24 11:24:13
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:22:46 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mytelly.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 488 channel(s)
ℹ   [84/976] mytelly.co.uk (en) - RTEOne.ie@SD - Apr 25, 2026 (32 programs)
ℹ   [85/976] mytelly.co.uk (en) - RTE2.ie@SD - Apr 24, 2026 (51 programs)
ℹ   [86/976] mytelly.co.uk (en) - RTE2.ie@SD - Apr 25, 2026 (27 programs)
ℹ   [87/976] mytelly.co.uk (en) - BBCNews.uk@Africa - Apr 24, 2026 (52 programs)
ℹ   [88/976] mytelly.co.uk (en) - TG4.ie@SD - Apr 25, 2026 (51 programs)
ℹ   [89/976] mytelly.co.uk (en) - TG4.ie@SD - Apr 24, 2026 (69 programs)
ℹ   [90/976] mytelly.co.uk (en) - HGTV.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [91/976] mytelly.co.uk (en) - BBCNews.uk@Africa - Apr 25, 2026 (41 programs)
ℹ   [92/976] mytelly.co.uk (en) - HGTV.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [93/976] mytelly.co.uk (en) - 92/bloomberg - Apr 24, 2026 (19 programs)
ℹ   [94/976] mytelly.co.uk (en) - CNNInternational.us@MENA - Apr 24, 2026 (29 programs)
ℹ   [95/976] mytelly.co.uk (en) - 92/bloomberg - Apr 25, 2026 (35 programs)
ℹ   [96/976] mytelly.co.uk (en) - CNNInternational.us@MENA - Apr 25, 2026 (32 programs)
ℹ   [97/976] mytelly.co.uk (en) - CartoonNetwork.uk@SD - Apr 24, 2026 (36 programs)
ℹ   [98/976] mytelly.co.uk (en) - CartoonNetwork.uk@SD - Apr 25, 2026 (31 programs)
ℹ   [99/976] mytelly.co.uk (en) - SkyNews.uk@SD - Apr 24, 2026 (42 programs)
ℹ   [100/976] mytelly.co.uk (en) - SkyNews.uk@SD - Apr 25, 2026 (42 programs)
ℹ   [101/976] mytelly.co.uk (en) - SkyWitness.uk@SD - Apr 24, 2026 (30 programs)
ℹ   [102/976] mytelly.co.uk (en) - SkyWitness.uk@SD - Apr 25, 2026 (34 programs)
ℹ   [103/976] mytelly.co.uk (en) - DiscoveryScienceEurope.uk@UKHD - Apr 24, 2026 (28 programs)
ℹ   [104/976] mytelly.co.uk (en) - DiscoveryScienceEurope.uk@UKHD - Apr 25, 2026 (32 programs)
ℹ   [105/976] mytelly.co.uk (en) - 134/ugold - Apr 24, 2026 (34 programs)
ℹ   [106/976] mytelly.co.uk (en) - 134/ugold - Apr 25, 2026 (33 programs)
ℹ   [107/976] mytelly.co.uk (en) - MTV80s.uk@SD - Apr 24, 2026 (0 programs)
