═══════════════════════════════════════════════════════════════
  Site            : zap2it.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 91s
  Channels        : 1190
  With programmes : 681
  Empty channels  : 509
  Total programs  : 7810
  Output size     : 3917204 bytes
  HTTP errors     :
    503 status code 429
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 13:08:52
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:07:20 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=zap2it.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 595 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [62/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10270 - Apr 25, 2026 (11 programs)
ℹ   [63/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10724 - Apr 25, 2026 (10 programs)
ℹ   [64/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10724 - Apr 24, 2026 (10 programs)
ℹ   [65/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10918 - Apr 24, 2026 (11 programs)
ℹ   [66/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10918 - Apr 25, 2026 (9 programs)
ℹ   [67/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10977 - Apr 24, 2026 (12 programs)
ℹ   [68/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10977 - Apr 25, 2026 (14 programs)
ℹ   [69/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10979 - Apr 24, 2026 (13 programs)
ℹ   [70/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10979 - Apr 25, 2026 (14 programs)
ℹ   [71/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10986 - Apr 24, 2026 (21 programs)
ℹ   [72/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10986 - Apr 25, 2026 (21 programs)
ℹ   [73/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10989 - Apr 24, 2026 (12 programs)
ℹ   [74/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10989 - Apr 25, 2026 (9 programs)
ℹ   [75/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10996 - Apr 24, 2026 (14 programs)
ℹ   [76/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10996 - Apr 25, 2026 (13 programs)
ℹ   [77/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11006 - Apr 24, 2026 (14 programs)
ℹ   [78/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11007 - Apr 24, 2026 (16 programs)
ℹ   [79/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11006 - Apr 25, 2026 (7 programs)
ℹ   [80/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11007 - Apr 25, 2026 (11 programs)
ℹ   [81/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11054 - Apr 24, 2026 (13 programs)
ℹ   [82/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11054 - Apr 25, 2026 (17 programs)
ℹ   [83/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11062 - Apr 24, 2026 (0 programs)
ℹ   [84/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11062 - Apr 25, 2026 (0 programs)
ℹ   [85/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11066 - Apr 24, 2026 (12 programs)
ℹ   [86/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11066 - Apr 25, 2026 (10 programs)
ℹ   [87/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11069 - Apr 24, 2026 (9 programs)
ℹ   [88/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11069 - Apr 25, 2026 (7 programs)
ℹ   [89/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11095 - Apr 24, 2026 (13 programs)
ℹ   [90/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11095 - Apr 25, 2026 (17 programs)
ℹ   [91/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11097 - Apr 24, 2026 (5 programs)
ℹ   [92/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11097 - Apr 25, 2026 (4 programs)
ℹ   [93/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11104 - Apr 24, 2026 (6 programs)
ℹ   [94/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11104 - Apr 25, 2026 (21 programs)
ℹ   [95/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11105 - Apr 24, 2026 (4 programs)
ℹ   [96/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11105 - Apr 25, 2026 (10 programs)
ℹ   [97/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11109 - Apr 25, 2026 (16 programs)
ℹ   [98/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11115 - Apr 24, 2026 (6 programs)
ℹ   [99/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11109 - Apr 24, 2026 (15 programs)
ℹ   [100/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11116 - Apr 25, 2026 (6 programs)
ℹ   [101/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11115 - Apr 25, 2026 (4 programs)
ℹ   [102/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11116 - Apr 24, 2026 (6 programs)
ℹ   [103/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11117 - Apr 24, 2026 (6 programs)
ℹ   [104/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11117 - Apr 25, 2026 (5 programs)
ℹ   [105/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11118 - Apr 24, 2026 (12 programs)
ℹ   [106/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11118 - Apr 25, 2026 (17 programs)
ℹ   [107/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11150 - Apr 25, 2026 (11 programs)
ℹ   [108/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11150 - Apr 24, 2026 (10 programs)
ℹ   [109/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11158 - Apr 24, 2026 (11 programs)
ℹ   [110/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11158 - Apr 25, 2026 (11 programs)
ℹ   [111/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11160 - Apr 24, 2026 (6 programs)
ℹ   [112/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11160 - Apr 25, 2026 (6 programs)
ℹ   [113/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11163 - Apr 24, 2026 (10 programs)
ℹ   [114/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11163 - Apr 25, 2026 (3 programs)
ℹ   [115/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11164 - Apr 24, 2026 (9 programs)
ℹ   [116/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11164 - Apr 25, 2026 (6 programs)
ℹ   [117/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11180 - Apr 24, 2026 (11 programs)
ℹ   [118/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11180 - Apr 25, 2026 (11 programs)
ℹ   [119/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11187 - Apr 24, 2026 (11 programs)
ℹ   [120/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11187 - Apr 25, 2026 (11 programs)
ℹ   [121/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11207 - Apr 24, 2026 (11 programs)
ℹ   [122/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11207 - Apr 25, 2026 (11 programs)
ℹ   [123/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11218 - Apr 24, 2026 (21 programs)
ℹ   [124/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11218 - Apr 25, 2026 (14 programs)
ℹ   [125/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11221 - Apr 24, 2026 (10 programs)
ℹ   [126/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11221 - Apr 25, 2026 (6 programs)
ℹ   [127/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11514 - Apr 24, 2026 (21 programs)
ℹ   [128/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11514 - Apr 25, 2026 (17 programs)
ℹ   [129/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11867 - Apr 25, 2026 (9 programs)
ℹ   [130/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12131 - Apr 24, 2026 (32 programs)
ℹ   [131/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12131 - Apr 25, 2026 (27 programs)
ℹ   [132/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12410 - Apr 24, 2026 (13 programs)
ℹ   [133/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/11867 - Apr 24, 2026 (22 programs)
